"receptor" "pathway_id" "genes_in_cluster"
"Il20rb" "mmu04630" "Il6,Jak2,Socs5,Ptpn2"
"Il20rb" "mmu04630" "Il15"
"Il20rb" "mmu04630" "Il3ra,Stat5a"
"Il20rb" "mmu04630" "Il4ra,Stat3"
"Il20rb" "mmu04630" "Il10rb,Il11ra1"
"Il20rb" "mmu04630" "Il13ra1,Ifngr1,Stam,Stam2,Pias2,Akt3"
"Il20rb" "mmu04630" "Il15ra"
"Il20rb" "mmu04630" "Il20rb"
"Il20rb" "mmu04630" "Il6st,Osmr,Jak1"
"Il20rb" "mmu04630" "Ifnar1,Socs2"
"Il20rb" "mmu04630" "Ifnar2"
"Il20rb" "mmu04630" "Ifngr2"
"Il20rb" "mmu04630" "Lifr,Ghr"
"Il20rb" "mmu04630" "Tyk2"
"Il20rb" "mmu04630" "Stat1,Stat2,Irf9"
"Il20rb" "mmu04630" "Stat5b"
"Il20rb" "mmu04630" "Stat6"
"Il20rb" "mmu04630" "Cish,Myc,Cdkn1a"
"Il20rb" "mmu04630" "Socs3"
"Il20rb" "mmu04630" "Socs7,Mcl1"
"Il20rb" "mmu04630" "Bcl2l1"
"Il20rb" "mmu04630" "Pim1"
"Il20rb" "mmu04630" "Ccnd1"
"Il20rb" "mmu04630" "Ccnd2,Ptpn11"
"Il20rb" "mmu04630" "Ccnd3,Pias4,Akt1"
"Il20rb" "mmu04630" "Pias1"
"Il20rb" "mmu04630" "Pias3,Pik3r2"
"Il20rb" "mmu04630" "Fhl1"
"Il20rb" "mmu04630" "Grb2"
"Il20rb" "mmu04630" "Raf1"
"Il20rb" "mmu04630" "Akt2"
"Il20rb" "mmu04630" "Mtor"
"Alk" "mmu05223" "Rxra,Rxrb,Akt1,Mapk3"
"Alk" "mmu05223" "Cdk4,Trp53"
"Alk" "mmu05223" "Ccnd1"
"Alk" "mmu05223" "Kras,Pdpk1,Akt3,Mapk1"
"Alk" "mmu05223" "Rassf1,Map2k1"
"Alk" "mmu05223" "Stk4"
"Alk" "mmu05223" "Pik3r2"
"Alk" "mmu05223" "Akt2"
"Alk" "mmu05223" "Bad,Map2k2"
"Alk" "mmu05223" "Casp9"
"Alk" "mmu05223" "Erbb2"
"Alk" "mmu05223" "Grb2"
"Alk" "mmu05223" "Nras"
"Alk" "mmu05223" "Araf"
"Alk" "mmu05223" "Raf1"
"Alk" "mmu05223" "Plcg1"
"Lrp1" "mmu05144" "Sdc1"
"Lrp1" "mmu05144" "Lrp1"
"Lrp1" "mmu05144" "Cd81"
"Lrp1" "mmu05144" "Gypc"
"Lrp1" "mmu05144" "Myd88,Icam1"
"Lrp1" "mmu05144" "Tlr2"
"Lrp1" "mmu05144" "Tlr4"
"Lrp1" "mmu05144" "Tgfb1"
"Lrp1" "mmu05144" "Tgfb3"
"Lrp1" "mmu05144" "Il6,Vcam1"
"Lrp1" "mmu05144" "Ccl2"
"Lrp1" "mmu05144" "Thbs1"
"Lrp1" "mmu05144" "Thbs4"
"Lrp2" "mmu04918" "Gnas,Creb3l2"
"Lrp2" "mmu04918" "Adcy4"
"Lrp2" "mmu04918" "Adcy6"
"Lrp2" "mmu04918" "Prkaca,Atf6b,Gpx1"
"Lrp2" "mmu04918" "Prkacb,Gnaq,Itpr1"
"Lrp2" "mmu04918" "Plcb3"
"Lrp2" "mmu04918" "Atf4,Hspa5,Hsp90b1,Canx,Pdia4"
"Lrp2" "mmu04918" "Creb3"
"Lrp2" "mmu04918" "Creb3l1,Gpx3"
"Lrp2" "mmu04918" "Itpr2"
"Lrp2" "mmu04918" "Atp1a1"
"Lrp2" "mmu04918" "Atp1b3"
"Lrp2" "mmu04918" "Gpx7"
"Lrp2" "mmu04918" "Gpx8"
"Lrp2" "mmu04918" "Gsr"
"Il6st" "mmu05203" "Kras,Mapk1,Ywhaz,Ywhab,Jak1,Hnrnpk,Ddx3x,Prkacb,Usp7,Dlg1,Kat2b,Rac1"
"Il6st" "mmu05203" "Nras"
"Il6st" "mmu05203" "Mapk3,Ltbr,Ccnd3,Hdac7"
"Il6st" "mmu05203" "Atf4,Mdm2"
"Il6st" "mmu05203" "Creb3"
"Il6st" "mmu05203" "Creb3l1"
"Il6st" "mmu05203" "Creb3l2,Ccnd2,Chd4"
"Il6st" "mmu05203" "Atf6b,Tradd,Gtf2h4,Bad"
"Il6st" "mmu05203" "Ddb1"
"Il6st" "mmu05203" "Ywhaq,Snw1,Ikbkg"
"Il6st" "mmu05203" "Ywhae,Ccna2,Ranbp1"
"Il6st" "mmu05203" "Ywhah,Lyn,Casp8"
"Il6st" "mmu05203" "Ywhag,Nfkb2,Scrib,Srf"
"Il6st" "mmu05203" "Stat3,Actn1"
"Il6st" "mmu05203" "Stat5a,Prkaca,Snd1"
"Il6st" "mmu05203" "Stat5b,Rela,Pxn,Hdac5"
"Il6st" "mmu05203" "Pik3r2"
"Il6st" "mmu05203" "Nfkb1,Traf3"
"Il6st" "mmu05203" "Trp53,Traf2,Bak1,Pkm,Kat2a,Cdk4"
"Il6st" "mmu05203" "Cdk2"
"Il6st" "mmu05203" "Egr2"
"Il6st" "mmu05203" "Vdac3,Gtf2e1,Psmc1,Rbl1,Hdac1"
"Il6st" "mmu05203" "Sp100,Irf9,Irf7,H2-T23,H2-T9"
"Il6st" "mmu05203" "Cdkn1a,Bax"
"Il6st" "mmu05203" "Hist1h2bc,Cdkn1b"
"Il6st" "mmu05203" "Grb2"
"Il6st" "mmu05203" "Tbp,Rhoa"
"Il6st" "mmu05203" "Tbpl1,Gtf2a2,Polb"
"Il6st" "mmu05203" "Rbpj"
"Il6st" "mmu05203" "Gtf2h2,Gtf2e2,Gtf2b,Hdac2,Cdc42"
"Il6st" "mmu05203" "Gtf2h3"
"Il6st" "mmu05203" "Ccnd1"
"Il6st" "mmu05203" "Mrps18b,Mad1l1,Vac14"
"Il6st" "mmu05203" "Traf5"
"Il6st" "mmu05203" "Atp6v0d1"
"Il6st" "mmu05203" "Irf3,Hdac10"
"Il6st" "mmu05203" "Ubr4,Actn4"
"Il6st" "mmu05203" "Jun"
"Il6st" "mmu05203" "Hdac3"
"Il6st" "mmu05203" "Hdac6"
"Il6st" "mmu05203" "Hdac8"
"Il6st" "mmu05203" "Dnaja3"
"Il6st" "mmu05203" "Nfkbia"
"Il6st" "mmu05203" "Gsn"
"Il6st" "mmu05203" "Il6st"
"Il6st" "mmu05203" "Mapkapk2"
"Il6st" "mmu05203" "H2-M3"
"Il6st" "mmu05203" "H2-T22"
"Il6st" "mmu05203" "H2-T10"
"Il6st" "mmu05203" "H2-D1,H2-K1,H2-Q4"
"Il6st" "mmu05203" "Gm11127"
"Lifr" "mmu04630" "Il6,Jak2,Socs5,Ptpn2"
