"ligand","ligand_cell","receptor","associated_genes","receptor_cell","pathway","score"
"Mdk","EC_WT","Alk","Pik3r2,Akt2,Casp9","FAP_WT","mmu05223","0.626454555718628"
"Mdk","FAP_WT","Lrp1","Psen1,Fadd,Plcb3,Casp7","FAP_WT","mmu05010","0.650149689421282"
"Mdk","FAP_WT","Lrp1","Sdc2,Tgfb3,Comp,Thbs2,Thbs3,Thbs4","EC_WT","mmu05144","0.68202274953926"
"Mdk","FAP_WT","Lrp1","Sdc2,Tgfb3,Comp,Thbs2,Thbs3,Thbs4","FAP_WT","mmu05144","0.646684029121594"
"Mdk","FAP_WT","Lrp1","Lrp1,Tlr2,Ccl2,Il1b,Tnf","EC_WT","mmu05144","0.775145114996464"
"Mdk","FAP_WT","Lrp2","Plcb3,Ttf2,Gsr","FAP_WT","mmu04918","0.798402377662629"
"Vegfa","FAP_WT","Flt1","Vegfb,Gnb5,Gng5,Gng10,Pik3r2,Akt2,Pla2g12a","EC_WT","mmu04014","0.610663434476358"
"Vegfa","EC_WT","Flt1","Adcy3,Apbb1ip,Pik3cd","EC_WT","mmu04015","0.625780678803058"
"Vegfa","FAP_WT","Flt1","Adcy9,Rapgef1,Sipa1,Sipa1l2,Id1","EC_WT","mmu04015","0.670800114512009"
"Vegfa","EC_WT","Flt1","Ccl11,Vegfa,Bmp2,Il1r2","EC_WT","mmu04060","0.686745026657797"
"Vegfa","FAP_WT","Flt1","Ccl11,Vegfa,Bmp2,Il1r2","FAP_WT","mmu04060","0.633878838698141"
"Vegfa","FAP_WT","Flt1","Pik3cd,Eif4e2,Eno3","EC_WT","mmu04066","0.626342142166342"
"Vegfa","EC_WT","Flt1","Timp1,Tfrc,Ldha,Pgk1","FAP_WT","mmu04066","0.749989840869019"
"Vegfa","EC_WT","Flt1","Snx5,Rab31,Arap1","EC_WT","mmu04144","0.62325227073704"
"Vegfa","EC_WT","Flt1","Vegfa,Pgf,Nras,Tlr2,Syk,Itgav","EC_WT","mmu04151","0.729988588175611"
"Vegfa","FAP_WT","Flt1","Lamb2,Tnxb,Itga6,Itga9,Myl9,Ppp1r12b,Ppp1r12c,Pik3r1,Fyn,Ccnd2","FAP_WT","mmu04510","0.627562459210138"
"Vegfa","FAP_WT","Flt1","Vegfb,Ppp1ca,Akt2,Pik3r2","EC_WT","mmu04510","0.643342844572376"
"Vegfa","EC_WT","Flt1","Rhoa,Myl12b,Mylpf,Bcl2","FAP_WT","mmu04510","0.604418765105813"
"Vegfa","FAP_WT","Flt1","Hdac1,Pbx3,Supt3,Cdkn2c","FAP_WT","mmu05202","0.631108758650848"
"Vegfa","EC_WT","Flt1","Cebpa,Il1r2,Zbtb17,Cebpb","EC_WT","mmu05202","0.681535998234641"
"Vegfa","FAP_WT","Flt1","Mdm2,Taf15,Ddit3,Il6","FAP_WT","mmu05202","0.605980942582936"
"Vegfa","EC_WT","Flt1","H2-Aa,H2-Ab1,H2-Eb1,H2-DMa,Tnf,Il1b,Tcirg1,Atp6v0d1,Ccl5,Ccl3","EC_WT","mmu05323","0.634292605672809"
"Vegfa","EC_WT","Itga9","Vegfa,Pgf,Nras,Tlr2,Syk,Itgav","EC_WT","mmu04151","0.729988588175611"
"Vegfa","FAP_WT","Itga9","Lamb2,Tnxb,Itga6,Itga9,Myl9,Ppp1r12b,Ppp1r12c,Pik3r1,Fyn,Ccnd2","FAP_WT","mmu04510","0.627562459210138"
"Vegfa","FAP_WT","Itga9","Vegfb,Ppp1ca,Akt2,Pik3r2","EC_WT","mmu04510","0.643342844572376"
"Vegfa","EC_WT","Itga9","Rhoa,Myl12b,Mylpf,Bcl2","FAP_WT","mmu04510","0.604418765105813"
"Vegfa","EC_WT","Itga9","Col1a1,Col1a2,Col6a2,Col6a1,Col6a3,Lama4,Lamb1,Lamc1,Comp,Thbs2,Thbs3,Thbs4,Fn1,Tnc,Itgb1,Dag1","EC_WT","mmu04512","0.661264007002498"
"Vegfa","FAP_WT","Itga9","Lamb2,Tnxb,Itga6,Itga9","EC_WT","mmu04512","0.615845183372817"
"Vegfa","FAP_WT","Itga9","Lamb2,Tnxb,Itga6,Itga9","FAP_WT","mmu04512","0.623807629883228"
"Vegfa","EC_WT","Itga9","Pvr,Sdc4,Itgav,Vcan","EC_WT","mmu04514","0.63438241453484"
"Vegfa","EC_WT","Itga9","Vav3,Mylpf,Tmsb4x","FAP_WT","mmu04810","0.61704900561618"
"Vegfa","EC_WT","Itga9","Actb,Emd,Lmna,Tnf","FAP_WT","mmu05410","0.61568896966122"
"Vegfa","EC_WT","Itga9","Prkab2,Prkag2,Ace,Igf1","FAP_WT","mmu05410","0.646403597232196"
"Vegfa","FAP_WT","Itga9","Itga6,Itga9,Adcy9","EC_WT","mmu05414","0.709600198717933"
"Vegfa","FAP_WT","Itga9","Itga6,Itga9,Adcy9","FAP_WT","mmu05414","0.621745308935838"
"Vegfa","EC_WT","Itga9","Emd,Lmna,Tnf","EC_WT","mmu05414","0.650466101793891"
"Vegfa","EC_WT","Itga9","Emd,Lmna,Tnf","FAP_WT","mmu05414","0.641924895925196"
"Vegfa","EC_WT","Itgb1","Adcy3,Apbb1ip,Pik3cd","EC_WT","mmu04015","0.625780678803058"
"Vegfa","FAP_WT","Itgb1","Adcy9,Rapgef1,Sipa1,Sipa1l2,Id1","EC_WT","mmu04015","0.670800114512009"
"Vegfa","EC_WT","Itgb1","H2-Q1,Gm11127,Gm7030,Rab5c,Tfrc,Tuba4a,Tuba1a,Tuba1c,Tuba1b,Tubb4b,Tubb6,Tubb5,Sec61a1,Tap2,Calr,Itga5,Scarb1","FAP_WT","mmu04145","0.699061072250981"
"Vegfa","EC_WT","Itgb1","H2-Q10,H2-Aa,H2-Ab1,H2-Eb1,H2-DMa,Atp6v1b2,Atp6v0d1,Ctss,Fcgr3,C3,Itgb5,Tlr2,Cd14","EC_WT","mmu04145","0.617408115933297"
"Vegfa","EC_WT","Itgb1","Vegfa,Pgf,Nras,Tlr2,Syk,Itgav","EC_WT","mmu04151","0.729988588175611"
"Vegfa","FAP_WT","Itgb1","Lamb2,Tnxb,Itga6,Itga9,Myl9,Ppp1r12b,Ppp1r12c,Pik3r1,Fyn,Ccnd2","FAP_WT","mmu04510","0.627562459210138"
"Vegfa","FAP_WT","Itgb1","Vegfb,Ppp1ca,Akt2,Pik3r2","EC_WT","mmu04510","0.643342844572376"
"Vegfa","EC_WT","Itgb1","Rhoa,Myl12b,Mylpf,Bcl2","FAP_WT","mmu04510","0.604418765105813"
"Vegfa","EC_WT","Itgb1","Col1a1,Col1a2,Col6a2,Col6a1,Col6a3,Lama4,Lamb1,Lamc1,Comp,Thbs2,Thbs3,Thbs4,Fn1,Tnc,Itgb1,Dag1","EC_WT","mmu04512","0.661264007002498"
"Vegfa","FAP_WT","Itgb1","Lamb2,Tnxb,Itga6,Itga9","EC_WT","mmu04512","0.615845183372817"
"Vegfa","FAP_WT","Itgb1","Lamb2,Tnxb,Itga6,Itga9","FAP_WT","mmu04512","0.623807629883228"
"Vegfa","EC_WT","Itgb1","Pvr,Sdc4,Itgav,Vcan","EC_WT","mmu04514","0.63438241453484"
"Vegfa","EC_WT","Itgb1","Orai1,Apbb1ip,Adcy3,Pik3cd,Syk,Fcer1g","EC_WT","mmu04611","0.655074383080874"
"Vegfa","EC_WT","Itgb1","Itpr2,Plcb3,Lyn","EC_WT","mmu04611","0.669858212597685"
"Vegfa","EC_WT","Itgb1","Ezr,Pik3cd,Cyba,Cxcr4","EC_WT","mmu04670","0.629525595583949"
"Vegfa","EC_WT","Itgb1","Pik3r2,Myl12b,Mylpf","FAP_WT","mmu04670","0.693606224348917"
"Vegfa","EC_WT","Itgb1","Vav3,Mylpf,Tmsb4x","FAP_WT","mmu04810","0.61704900561618"
"Vegfa","FAP_WT","Itgb1","Wasf2,Dnm2,Ilk","EC_WT","mmu05100","0.601506660450157"
"Vegfa","EC_WT","Itgb1","Pycard,Il1b,C1qa,C1qc,Cd14,Ticam1,Tnf","EC_WT","mmu05133","0.714104720485084"
