"ligand" "ligand_cell" "receptor" "associated_genes" "receptor_cell" "pathway" "score"
"1" "Mdk" "EC_WT" "Alk" "Pik3r2,Akt2,Casp9" "FAP_WT" "mmu05223" "0.626454555718628"
"2" "Mdk" "FAP_WT" "Lrp1" "Psen1,Fadd,Plcb3,Casp7" "FAP_WT" "mmu05010" "0.650149689421282"
"3" "Mdk" "FAP_WT" "Lrp1" "Sdc2,Tgfb3,Comp,Thbs2,Thbs3,Thbs4" "EC_WT" "mmu05144" "0.68202274953926"
"4" "Mdk" "FAP_WT" "Lrp1" "Sdc2,Tgfb3,Comp,Thbs2,Thbs3,Thbs4" "FAP_WT" "mmu05144" "0.646684029121594"
"5" "Mdk" "FAP_WT" "Lrp1" "Lrp1,Tlr2,Ccl2,Il1b,Tnf" "EC_WT" "mmu05144" "0.775145114996464"
"6" "Mdk" "FAP_WT" "Lrp2" "Plcb3,Ttf2,Gsr" "FAP_WT" "mmu04918" "0.798402377662629"
"7" "Vegfa" "FAP_WT" "Flt1" "Vegfb,Gnb5,Gng5,Gng10,Pik3r2,Akt2,Pla2g12a" "EC_WT" "mmu04014" "0.610663434476358"
"8" "Vegfa" "EC_WT" "Flt1" "Adcy3,Apbb1ip,Pik3cd" "EC_WT" "mmu04015" "0.625780678803058"
"9" "Vegfa" "FAP_WT" "Flt1" "Adcy9,Rapgef1,Sipa1,Sipa1l2,Id1" "EC_WT" "mmu04015" "0.670800114512009"
"10" "Vegfa" "EC_WT" "Flt1" "Ccl11,Vegfa,Bmp2,Il1r2" "EC_WT" "mmu04060" "0.686745026657797"
"11" "Vegfa" "FAP_WT" "Flt1" "Ccl11,Vegfa,Bmp2,Il1r2" "FAP_WT" "mmu04060" "0.633878838698141"
"12" "Vegfa" "FAP_WT" "Flt1" "Pik3cd,Eif4e2,Eno3" "EC_WT" "mmu04066" "0.626342142166342"
"13" "Vegfa" "EC_WT" "Flt1" "Timp1,Tfrc,Ldha,Pgk1" "FAP_WT" "mmu04066" "0.749989840869019"
"14" "Vegfa" "EC_WT" "Flt1" "Snx5,Rab31,Arap1" "EC_WT" "mmu04144" "0.62325227073704"
"15" "Vegfa" "EC_WT" "Flt1" "Vegfa,Pgf,Nras,Tlr2,Syk,Itgav" "EC_WT" "mmu04151" "0.729988588175611"
"16" "Vegfa" "FAP_WT" "Flt1" "Lamb2,Tnxb,Itga6,Itga9,Myl9,Ppp1r12b,Ppp1r12c,Pik3r1,Fyn,Ccnd2" "FAP_WT" "mmu04510" "0.627562459210138"
"17" "Vegfa" "FAP_WT" "Flt1" "Vegfb,Ppp1ca,Akt2,Pik3r2" "EC_WT" "mmu04510" "0.643342844572376"
"18" "Vegfa" "EC_WT" "Flt1" "Rhoa,Myl12b,Mylpf,Bcl2" "FAP_WT" "mmu04510" "0.604418765105813"
"19" "Vegfa" "FAP_WT" "Flt1" "Hdac1,Pbx3,Supt3,Cdkn2c" "FAP_WT" "mmu05202" "0.631108758650848"
"20" "Vegfa" "EC_WT" "Flt1" "Cebpa,Il1r2,Zbtb17,Cebpb" "EC_WT" "mmu05202" "0.681535998234641"
"21" "Vegfa" "FAP_WT" "Flt1" "Mdm2,Taf15,Ddit3,Il6" "FAP_WT" "mmu05202" "0.605980942582936"
"22" "Vegfa" "EC_WT" "Flt1" "H2-Aa,H2-Ab1,H2-Eb1,H2-DMa,Tnf,Il1b,Tcirg1,Atp6v0d1,Ccl5,Ccl3" "EC_WT" "mmu05323" "0.634292605672809"
"23" "Vegfa" "EC_WT" "Itga9" "Vegfa,Pgf,Nras,Tlr2,Syk,Itgav" "EC_WT" "mmu04151" "0.729988588175611"
"24" "Vegfa" "FAP_WT" "Itga9" "Lamb2,Tnxb,Itga6,Itga9,Myl9,Ppp1r12b,Ppp1r12c,Pik3r1,Fyn,Ccnd2" "FAP_WT" "mmu04510" "0.627562459210138"
"25" "Vegfa" "FAP_WT" "Itga9" "Vegfb,Ppp1ca,Akt2,Pik3r2" "EC_WT" "mmu04510" "0.643342844572376"
"26" "Vegfa" "EC_WT" "Itga9" "Rhoa,Myl12b,Mylpf,Bcl2" "FAP_WT" "mmu04510" "0.604418765105813"
"27" "Vegfa" "EC_WT" "Itga9" "Col1a1,Col1a2,Col6a2,Col6a1,Col6a3,Lama4,Lamb1,Lamc1,Comp,Thbs2,Thbs3,Thbs4,Fn1,Tnc,Itgb1,Dag1" "EC_WT" "mmu04512" "0.661264007002498"
"28" "Vegfa" "FAP_WT" "Itga9" "Lamb2,Tnxb,Itga6,Itga9" "EC_WT" "mmu04512" "0.615845183372817"
"29" "Vegfa" "FAP_WT" "Itga9" "Lamb2,Tnxb,Itga6,Itga9" "FAP_WT" "mmu04512" "0.623807629883228"
"30" "Vegfa" "EC_WT" "Itga9" "Pvr,Sdc4,Itgav,Vcan" "EC_WT" "mmu04514" "0.63438241453484"
"31" "Vegfa" "EC_WT" "Itga9" "Vav3,Mylpf,Tmsb4x" "FAP_WT" "mmu04810" "0.61704900561618"
