"receptor" "pathway_id" "genes_in_cluster"
"Il20rb" "mmu04060" "Cxcl1,Csf1,Il1rap"
"Il20rb" "mmu04060" "Cxcl2,Cxcl10,Cxcl16,Cxcl14,Ccl2,Ccl4,Ccl3,Ccl7,Ccl5,Ccl8,Ccl9,Clcf1,Tnf,Il1b,Il4ra,Csf2ra,Il2rg,Tnfrsf10b,Tnfrsf1b,Tnfrsf1a,Il17ra"
"Il20rb" "mmu04060" "Cxcl12,Il6st,Pdgfrb,Acvr1b"
"Il20rb" "mmu04060" "Ccl11,Vegfa,Bmp2,Il1r2"
"Il20rb" "mmu04060" "Ccl27a,Vegfb,Flt3l,Tgfb1,Il11ra1,Ifnar2,Il10rb,Tnfrsf21"
"Il20rb" "mmu04060" "Il6,Kitl,Il13ra1,Il15ra,Tnfrsf12a,Fas,Tgfbr1,Acvr2a,Bmpr2"
"Il20rb" "mmu04060" "Pdgfa,Tnfsf9,Ifngr2"
"Il20rb" "mmu04060" "Tnfsf12,Il3ra,Crlf2,Ltbr"
"Il20rb" "mmu04060" "Tnfsf13,Cxcr4,Tnfrsf14"
"Il20rb" "mmu04060" "Tgfb3,Lifr,Ifnar1,Ifngr1,Tgfbr2,Acvr1"
"Il20rb" "mmu04630" "Il6,Il15ra,Socs3,Socs5,Socs6,Mcl1,Stam,Ptpn2,Ptpn11,Raf1"
"Il20rb" "mmu04630" "Tslp,Ifnar2,Stat5b,Pias1,Pik3r2"
"Il20rb" "mmu04630" "Il2rg,Il3ra,Crlf2,Csf2ra,Stat5a,Pik3cd,Akt1"
"Il20rb" "mmu04630" "Il4ra,Ifngr2,Pim1"
"Il20rb" "mmu04630" "Il10rb,Il11ra1,Bcl2"
"Il20rb" "mmu04630" "Il13ra1,Il6st,Ifnar1,Jak1,Jak2,Stat1,Stat2,Stat3,Myc,Stam2,Irf9"
"Il20rb" "mmu04630" "Ifngr1,Lifr,Socs2,Socs4,Ep300,Pias2,Fhl1,Sos1,Sos2,Pik3ca,Pik3r1,Akt3"
"Il20rb" "mmu04630" "Tyk2,Crebbp,Pias3,Grb2"
"Il20rb" "mmu04630" "Stat6,Socs7,Bcl2l1,Ccnd1,Ccnd2,Mtor"
"Il20rb" "mmu04630" "Cish,Socs1,Ccnd3,Cdkn1a,Pias4"
"Alk" "mmu05223" "Rxra,Rxrb,Cdk4,E2f1,Akt1,Bad,Map2k2,Mapk3,Trp53"
"Alk" "mmu05223" "E2f3,Rassf1,Nras,Raf1,Map2k1,Mapk1"
"Alk" "mmu05223" "Kras,Pik3ca,Pik3r1,Pdpk1,Akt3,Sos1,Sos2,Araf,Braf,Plcg1,Eml4"
"Alk" "mmu05223" "Pik3r2,Akt2,Casp9"
"Lrp1" "mmu05010" "Adam10,Adam17,App,Bace1,Ppp3ca,Gnaq,Itpr1,Itpr2,Atp2a2,Ern1,Eif2ak3,Gsk3b"
"Lrp1" "mmu05010" "Nae1,Atp5j,Calm1,Calm2,Ppp3cb,Ppp3r1"
"Lrp1" "mmu05010" "Gapdh,Ncstn,Lrp1,Tnfrsf1a,Bid,Tnf,Il1b"
"Lrp1" "mmu05010" "Rtn4,Ndufs1,Sdha,Uqcrfs1,Uqcrc2,Atp5a1,Atp5b,Casp8,Apaf1,Casp3,Mapk1,Atf6,Capn2"
"Lrp1" "mmu05010" "Psenen,Psen2,Cox7a2l,Apoe,Calml4,Casp9,Cdk5"
"Lrp1" "mmu05010" "Psen1,Fadd,Plcb3,Casp7"
"Lrp1" "mmu05010" "Aph1a,Ndufv1,Ndufa4,Ndufa8,Ndufs5,Sdhc,Sdhd,Cyc1,Cox7b,Atp5g1,Atp5g2,Atp5g3,Calm3"
"Lrp1" "mmu05010" "Ndufv2,Ndufv3,Ndufa2,Ndufa3,Ndufa5,Ndufa6,Ndufa7,Ndufa9,Ndufa10,Ndufab1,Ndufa11,Ndufa12,Ndufa13,Ndufb2,Ndufb3,Ndufb4,Ndufb5,Ndufb7,Ndufb8,Ndufb9,Ndufb10,Ndufb11,Ndufs2,Ndufs3,Ndufs6,Ndufs7,Ndufs8,Ndufc1,Ndufc2,Sdhb,Uqcrc1,Uqcrh,Uqcrq,Uqcr10,Uqcr11,Cox4i1,Cox5a,Cox5b,Cox6a1,Cox6b1,Cox6c,Cox7a1,Cox7c,Cox8a,Atp5c1,Atp5d,Atp5e,Atp5f1,Atp5h,Atp5o,Hsd17b10,Bad,Capn1"
"Lrp1" "mmu05010" "Ndufa1,Ndufb6,Ndufs4,Uqcrb,Cox7a2,Ppp3cc,Cycs"
"Lrp1" "mmu05144" "Sdc2,Tgfb3,Comp,Thbs2,Thbs3,Thbs4"
"Lrp1" "mmu05144" "Lrp1,Tlr2,Ccl2,Il1b,Tnf"
"Lrp1" "mmu05144" "Gypc,Hba-a1,Pecam1"
"Lrp1" "mmu05144" "Myd88,Tlr4,Il6,Vcam1,Thbs1,Icam1"
"Lrp2" "mmu04340" "Smo,Prkaca,Sufu"
"Lrp2" "mmu04340" "Prkacb,Csnk1a1,Csnk1g1,Csnk1g3,Csnk1d,Csnk1e,Gsk3b,Ccnd2,Cul1,Fbxw11,Smurf2,Cul3,Spop,Spopl"
"Lrp2" "mmu04918" "Gnas,Prkacb,Gnaq,Ttf1,Creb1,Atf2,Creb3l2,Itpr1"
"Lrp2" "mmu04918" "Adcy3,Prkaca,Atf6b,Gpx1"
"Lrp2" "mmu04918" "Plcb3,Ttf2,Gsr"
"Lrp2" "mmu04918" "Atf4,Hspa5,Hsp90b1,Canx,Pdia4,Atp1a1"
"Lrp2" "mmu04918" "Creb3,Creb3l1,Itpr2,Gpx3,Gpx7,Gpx8"
"Il6st" "mmu04060" "Cxcl1,Csf1,Il1rap"
"Il6st" "mmu04060" "Cxcl2,Cxcl10,Cxcl16,Cxcl14,Ccl2,Ccl4,Ccl3,Ccl7,Ccl5,Ccl8,Ccl9,Clcf1,Tnf,Il1b,Il4ra,Csf2ra,Il2rg,Tnfrsf10b,Tnfrsf1b,Tnfrsf1a,Il17ra"
"Il6st" "mmu04060" "Cxcl12,Il6st,Pdgfrb,Acvr1b"
"Il6st" "mmu04060" "Ccl11,Vegfa,Bmp2,Il1r2"
"Il6st" "mmu04060" "Ccl27a,Vegfb,Flt3l,Tgfb1,Il11ra1,Ifnar2,Il10rb,Tnfrsf21"
"Il6st" "mmu04060" "Il6,Kitl,Il13ra1,Il15ra,Tnfrsf12a,Fas,Tgfbr1,Acvr2a,Bmpr2"
"Il6st" "mmu04060" "Pdgfa,Tnfsf9,Ifngr2"
"Il6st" "mmu04060" "Tnfsf12,Il3ra,Crlf2,Ltbr"
"Il6st" "mmu04060" "Tnfsf13,Cxcr4,Tnfrsf14"
"Il6st" "mmu04060" "Tgfb3,Lifr,Ifnar1,Ifngr1,Tgfbr2,Acvr1"
"Il6st" "mmu04550" "Lifr,Smad3,Acvr1,Fzd7,Dvl3,Igf1,Jarid2,Pcgf2"
"Il6st" "mmu04550" "Il6st,Stat3,Klf4,Pik3ca,Pik3r1,Akt3,Acvr1b,Acvr2a,Bmpr2,Smad5,Smad4,Fzd1,Fzd5,Gsk3b,Apc,Ctnnb1,Fgfr1,Kras,Igf1r,Skil,Smarcad1,Kat6a,Rest,Rif1,Pcgf3,Bmi1"
"Il6st" "mmu04550" "Jak1,Jak2,Myc,Mapk1,Nras,Raf1,Setdb1,Pcgf5,Pcgf6"
"Il6st" "mmu04550" "Map2k1,Id3,Dvl1,Axin1"
"Il6st" "mmu04550" "Map2k2,Mapk3,Akt1,Tcf3"
"Il6st" "mmu04550" "Pik3r2,Akt2,Pcgf1"
"Il6st" "mmu04550" "Smad2,Smad1,Mapk14"
"Il6st" "mmu04630" "Il6,Il15ra,Socs3,Socs5,Socs6,Mcl1,Stam,Ptpn2,Ptpn11,Raf1"
"Il6st" "mmu04630" "Tslp,Ifnar2,Stat5b,Pias1,Pik3r2"
"Il6st" "mmu04630" "Il2rg,Il3ra,Crlf2,Csf2ra,Stat5a,Pik3cd,Akt1"
"Il6st" "mmu04630" "Il4ra,Ifngr2,Pim1"
"Il6st" "mmu04630" "Il10rb,Il11ra1,Bcl2"
"Il6st" "mmu04630" "Il13ra1,Il6st,Ifnar1,Jak1,Jak2,Stat1,Stat2,Stat3,Myc,Stam2,Irf9"
"Il6st" "mmu04630" "Ifngr1,Lifr,Socs2,Socs4,Ep300,Pias2,Fhl1,Sos1,Sos2,Pik3ca,Pik3r1,Akt3"
"Il6st" "mmu04630" "Tyk2,Crebbp,Pias3,Grb2"
"Il6st" "mmu04630" "Stat6,Socs7,Bcl2l1,Ccnd1,Ccnd2,Mtor"
"Il6st" "mmu04630" "Cish,Socs1,Ccnd3,Cdkn1a,Pias4"
