ligand_symbol	receptor_symbol
Il19	Il20rb
Mdk	Alk
Mdk	Lrp1
Mdk	Lrp2
Mdk	Ptprz1
Osm	Il6st
Osm	Lifr
Osm	Osmr
Ccl26	Ccr1
Ccl26	Ccr3
Il28a	Il10rb
Il28a	Il28ra
Vegfa	Ephb2
Vegfa	Flt1
Vegfa	Itga9
Vegfa	Itgb1
Vegfa	Kdr
Vegfa	Nrp1
Vegfa	Nrp2
Vegfa	Vtn
Pdap1	Pdgfa
Calca	Calcr
Calca	Calcrl
BC096441	Fas
BC096441	Tnfrsf11b
BC096441	Tnfrsf12a
BC096441	Tnfrsf13b
BC096441	Tnfrsf14
BC096441	Tnfrsf17
BC096441	Tnfrsf1a
BC096441	Tnfrsf25
Prok2	Prokr2
Btla	Tnfrsf14
Lif	Il6st
Lif	Lifr
Rspo4	Lrp6
Proc	Procr
Prok1	Prokr1
Bdnf	Ntrk2
Prlh	Prlhr
Kng1	Bdkrb2
Igf1	Igf1r
Igf1	Igfbp1
Igf1	Igfbp2
Igf1	Igfbp3
Igf1	Igfbp4
Igf1	Igfbp5
Igf1	Igfbp6
Igf1	Igfbp7
Hmg1l1	Ager
Hmg1l1	Ar
Hmg1l1	Nr3c1
Hmg1l1	Pgr
Hmg1l1	Ptprz1
Gm16379	Cd74
Gm16379	Tnfrsf14
Ngf	Ngfr
Ngf	Ntrk1
Ngf	Ror1
Ngf	Sorcs3
Ngf	Sort1
Csf1	Csf1r
Csf1	H2-Bl
Igf2	Igf1r
Igf2	Igf2r
Igf2	Insr
Igf2	Vtn
Edn3	Ednrb
Lgals3	Lgals3bp
Il12a	Il12rb1
Il12a	Il12rb2
Tnfsf13	Fas
Tnfsf13	Tnfrsf11b
Tnfsf13	Tnfrsf12a
Tnfsf13	Tnfrsf13b
Tnfsf13	Tnfrsf14
Tnfsf13	Tnfrsf17
Tnfsf13	Tnfrsf1a
Tnfsf13	Tnfrsf25
Ccl20	Ccr6
Efna1	Epha1
Gdf1	Acvr1b
Prl	Prlr
Wnt7b	Fzd1
Ntf3	Ngfr
Ntf3	Ntrk1
Ntf3	Ntrk2
Ntf3	Ntrk3
Il33	Il1rl1
Tshb	Tshr
Fgf8	Fgfr3
Fgf8	Fgfr4
Nrg2	Erbb3
Nrg2	Erbb4
Angpt2	Tek
Agrp	Mc4r
Agt	Agtr1a
Amh	Amhr2
Amh	Egfr
Bdnf	Fpr1
Bdnf	Sort1
Bmp2	Acvr2a
Bmp2	Acvr2b
Bmp2	Bmpr1a
Bmp2	Bmpr1b
Bmp2	Bmpr2
Bmp2	Eng
Bmp4	Bmpr1a
Bmp4	Bmpr1b
Bmp4	Bmpr2
Bmp5	Bmpr1a
Bmp6	Acvr2a
Bmp6	Acvr2b
Bmp6	Bmpr1a
Bmp6	Bmpr2
Bmp7	Acvr1
Bmp7	Acvr2a
Bmp7	Acvr2b
Bmp7	Bmpr1a
Bmp7	Bmpr1b
Bmp7	Bmpr2
Bmp7	Eng
Btc	Egfr
Btc	Erbb2
Btc	Erbb4
Serpina6	Lhcgr
Chgb	Fgfr3
Chgb	Rxrg
Cort	Ghsr
Cort	Mrgprx2
Cort	Sstr1
Cort	Sstr2
Cort	Sstr3
Cort	Sstr4
Cort	Sstr5
Ctf1	Il6st
Ctsg	F2rl3
Ctsg	Met
Ctsg	Pawr
Ctsg	Stk11
Dhh	Ptch1
Dhh	Ptch2
Dll1	Notch1
Dll1	Notch2
Dll1	Notch3
Edn3	Ednra
Efna2	Epha3
Efna4	Epha5
Efnb3	Ephb1
Epo	Epor
Ereg	Egfr
Ereg	Erbb4
Fgf10	Fgfr2
Fgf15	Fgfr1
Fgf15	Fgfr4
Fgf17	Fgfr4
Fgf18	Fgfr4
Fgf2	Fgfr1
Fgf2	Fgfr2
Fgf2	Fgfr3
Fgf2	Fgfr4
