Ligand      (Entrez ID)	Receptor (Entrez ID)	Ligand (Symbol)	Receptor (Symbols)	miScore from iRefWeb	Confidence from iRefWeb
116	117	ADCYAP1	ADCYAP1R1	0.921	high
116	6344	ADCYAP1	SCTR	0.931	low
116	7433	ADCYAP1	VIPR1	0.719	low
116	7434	ADCYAP1	VIPR2	0.719	low
9370	79602	ADIPOQ	ADIPOR2	0.28	low
9370	51094	ADIPOQ	ADIPOR1	-	NA
133	10268	ADM	RAMP3	0.55	high
133	10203	ADM	CALCRL	0.431	low
133	10266	ADM	RAMP2	0.431	low
181	4160	AGRP	MC4R	0.798	high
9255	4163	AIMP1	MCC	0.28	low
268	1956	AMH	EGFR	0.28	low
268	269	AMH	AMHR2	0.28	low
284	7010	ANGPT1	TEK	0.98	high
285	7010	ANGPT2	TEK	1	high
27329	3678	ANGPTL3	ITGA5	0.644	low
27329	3685	ANGPTL3	ITGAV	0.719	low
27329	3690	ANGPTL3	ITGB3	0.28	low
8862	187	APLN	APLNR	0.28	low
374	1956	AREG	EGFR	0.798	high
727738	1956	AREGB	EGFR	0.798	high
9048	2676	ARTN	GFRA3	1	high
551	5021	AVP	OXTR	0.28	low
551	552	AVP	AVPR1A	0.431	low
551	553	AVP	AVPR1B	0.431	low
551	554	AVP	AVPR2	0.431	low
627	4915	BDNF	NTRK2	1	high
627	6272	BDNF	SORT1	0.798	high
649	148	BMP1	ADRA1A	0.28	low
27302	659	BMP10	BMPR2	-	NA
9210	658	BMP15	BMPR1B	1	low
9210	659	BMP15	BMPR2	-	NA
650	657	BMP2	BMPR1A	1	high
650	659	BMP2	BMPR2	0.953	high
650	92	BMP2	ACVR2A	1	high
650	2022	BMP2	ENG	0.28	low
650	658	BMP2	BMPR1B	1	low
650	93	BMP2	ACVR2B	1	low
652	657	BMP4	BMPR1A	1	high
652	658	BMP4	BMPR1B	1	high
652	659	BMP4	BMPR2	0.767	high
652	9372	BMP4	ZFYVE9	0.191	low
653	657	BMP5	BMPR1A	1	low
654	657	BMP6	BMPR1A	1	low
654	659	BMP6	BMPR2	0.28	low
654	92	BMP6	ACVR2A	1	low
654	93	BMP6	ACVR2B	1	low
655	657	BMP7	BMPR1A	0.999	high
655	659	BMP7	BMPR2	0.816	high
655	90	BMP7	ACVR1	1	high
655	92	BMP7	ACVR2A	1	high
655	2022	BMP7	ENG	0.28	low
655	658	BMP7	BMPR1B	1	low
655	93	BMP7	ACVR2B	1	low
656	25	BMP8B	ABL1	0.36	low
685	1956	BTC	EGFR	0.676	high
685	2064	BTC	ERBB2	0.778	low
685	2066	BTC	ERBB4	0.778	low
727	728	C5	C5AR1	0.798	high
796	10203	CALCA	CALCRL	0.913	high
796	10266	CALCA	RAMP2	0.28	low
796	10267	CALCA	RAMP1	0.28	low
796	799	CALCA	CALCR	0.431	low
885	886	CCK	CCKAR	0.905	high
885	887	CCK	CCKBR	0.963	high
6346	1230	CCL1	CCR1	0.482	high
6346	1237	CCL1	CCR8	0.905	high
6356	1232	CCL11	CCR3	1	high
6356	1234	CCL11	CCR5	1	high
6356	1238	CCL11	CCBP2	1	high
6356	2833	CCL11	CXCR3	1	high
6356	1803	CCL11	DPP4	0.431	low
6357	1232	CCL13	CCR3	1	high
6357	1234	CCL13	CCR5	1	high
6357	1238	CCL13	CCBP2	1	high
6357	2833	CCL13	CXCR3	1	high
6357	729230	CCL13	CCR2	1	high
6357	51554	CCL13	CCRL1	1	low
6358	1230	CCL14	CCR1	1	high
6358	1232	CCL14	CCR3	1	low
6358	1234	CCL14	CCR5	1	low
6358	1238	CCL14	CCBP2	1	low
6359	1230	CCL15	CCR1	1	high
6359	1232	CCL15	CCR3	1	low
6360	1230	CCL16	CCR1	1	high
6360	1234	CCL16	CCR5	1	low
6360	1237	CCL16	CCR8	1	low
6360	59340	CCL16	HRH4	0.28	low
6360	729230	CCL16	CCR2	1	low
6360	643	CCL16	CXCR5	1	low
6360	729230	CCL16	CCR2	-	NA
6361	1233	CCL17	CCR4	0.879	high
6361	1237	CCL17	CCR8	0.627	high
6361	2532	CCL17	DARC	0.28	low
6363	1236	CCL19	CCR7	0.951	high
6363	1238	CCL19	CCBP2	0.913	low
6363	2826	CCL19	CCR10	0.913	low
6363	51554	CCL19	CCRL1	0.913	low
6347	1230	CCL2	CCR1	1	high
6347	1234	CCL2	CCR5	1	high
6347	1238	CCL2	CCBP2	1	high
6347	2532	CCL2	DARC	0.767	high
