Gene Symbol	Gene ID	
Il20rb	213208	
Alk	11682	
Lrp1	16971	
Lrp2	14725	
Ptprz1	19283	
Il6st	16195	
Lifr	16880	
Osmr	18414	
Ccr1	12768	
Ccr3	12771	
Il10rb	16155	
Il28ra	163702	
Ephb2	13844	
Flt1	14254	
Itga9	104099	
Itgb1	16412	
Kdr	16542	
Nrp1	18186	
Nrp2	18187	
Vtn	22370	
Pdgfa	18590	
Calcr	12311	
Calcrl	54598	
Fas	14102	
Tnfrsf11b	18383	
Tnfrsf12a	27279	
Tnfrsf13b	57916	
Tnfrsf14	230979	
Tnfrsf17	21935	
Tnfrsf1a	21937	
Tnfrsf25	85030	
Prokr2	246313	
Lrp6	16974	
Procr	19124	
Prokr1	58182	
Ntrk2	18212	
Prlhr	226278	
Bdkrb2	12062	
Igf1r	16001	
Igfbp1	16006	
Igfbp2	16008	
Igfbp3	16009	
Igfbp4	16010	
Igfbp5	16011	
Igfbp6	16012	
Igfbp7	29817	
Ager	11596	
Ar	11835	
Nr3c1	14815	
Pgr	18667	
Cd74	16149	
Ngfr	18053	
Ntrk1	18211	
Ror1	26563	
Sorcs3	66673	
Sort1	20661	
Csf1r	12978	
H2-Bl	14963	
Igf2r	16004	
Insr	16337	
Ednrb	13618	
Lgals3bp	19039	
Il12rb1	16161	
Il12rb2	16162	
Ccr6	12458	
Epha1	13835	
Acvr1b	11479	
Prlr	19116	
Fzd1	14362	
Ntrk3	18213	
Il1rl1	17082	
Tshr	22095	
Fgfr3	14184	
Fgfr4	14186	
Erbb3	13867	
Erbb4	13869	
Tek	21687	
Mc4r	17202	
Agtr1a	11607	
Amhr2	110542	
Egfr	13649	
Fpr1	14293	
Acvr2a	11480	
Acvr2b	11481	
Bmpr1a	12166	
Bmpr1b	12167	
Bmpr2	12168	
Eng	13805	
Acvr1	11477	
Erbb2	13866	
Lhcgr	16867	
Rxrg	20183	
Ghsr	208188	
Mrgprx2	243978	
Sstr1	20605	
Sstr2	20606	
Sstr3	20607	
Sstr4	20608	
Sstr5	20609	
F2rl3	14065	
Met	17295	
Pawr	114774	
Stk11	20869	
Ptch1	19206	
Ptch2	19207	
Notch1	18128	
Notch2	18129	
Notch3	18131	
Ednra	13617	
Epha3	13837	
Epha5	13839	
Ephb1	270190	
Epor	13857	
Fgfr2	14183	
Fgfr1	14182	
Fgfrl1	116701	
Sdc4	20971	
Fshr	14309	
Cd14	12475	
Dip2a	64451	
Gcgr	14527	
Gipr	381853	
Glp1r	14652	
Glp2r	93896	
Ghr	14600	
Gnrhr	14715	
Amfr	23802	
Cxcr1	227288	
Cxcr2	12765	
Darc	2532	
Gucy2c	14917	
Thra	21833	
Ifngr1	15979	
Ifngr2	15980	
Il11ra1	16157	
Il23r	209590	
Il13ra1	16164	
Il13ra2	16165	
Il4ra	16190	
Gm614	245536	
Il15ra	16169	
Il17ra	16172	
Il2rb	16185	
Il2rg	16186	
Il18r1	16182	
Il18rap	16174	
Il1rl2	107527	
Adrb2	11555	
Il1r1	16177	
