tracking_id	Endothelium.D0.NTX	Endothelium.1D.NTX	Endothelium.2D.NTX	Endothelium.3D.NTX	Endtoehlium.5D.NTX	Endothelium.6D.NTX	Endothelium.7D.NTX	Endothelium.10D.NTX
0610005C13Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0532207
0610007N19Rik	18.1598	2.20206	3.70957	2.93697	2.47346	0.605972	15.257	1.5169
0610007P14Rik	8.90485	21.3069	20.2233	11.0174	10.9969	21.5197	41.5224	11.9515
0610008F07Rik	0.001	0.001	0.001	0.0859414	0.001	0.001	0.001	0.001
0610009B14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0610009B22Rik	10.796	6.35471	15.4776	4.90851	10.9787	15.5983	18.0355	14.8552
0610009D07Rik	78.0062	31.9592	52.5013	27.0675	34.4265	58.8369	183.035	36.1453
0610009L18Rik	6.34887	0.524244	2.08373	1.29463	2.8761	0.916433	4.43809	0.655962
0610009O20Rik	16.2834	18.4645	18.0951	21.03	14.0319	20.5413	5.90705	20.5459
0610010B08Rik	2.80832	0.240762	1.77441	0.36298	1.66229	1.7624	0.854231	1.46233
0610010F05Rik	3.0535	1.91112	5.78412	1.48814	5.34473	5.20036	1.12101	5.15353
0610010K14Rik	82.3135	68.3822	58.4754	68.4195	38.2928	52.5334	91.4996	41.2367
0610011F06Rik	6.0432	6.6485	6.08044	10.5624	3.23213	6.79368	14.2405	4.83332
0610012G03Rik	49.3411	23.8258	14.6623	27.1644	8.98634	17.6195	58.3648	10.9104
0610012H03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.0743923	0.001
0610030E20Rik	2.60928	1.73769	1.70493	1.14336	1.39989	1.86845	1.48058	4.63324
0610031J06Rik	58.4943	69.6456	85.3363	84.1062	62.9176	75.1138	112.71	81.3222
0610031O16Rik	0.001	0.001	0.205556	0.265392	0.001	0.001	0.001	0.001
0610037L13Rik	38.6861	31.2231	22.6381	26.1665	20.6978	30.945	36.3937	20.2859
0610038B21Rik	0.0827635	0.811827	0.300048	1.23345	0.001	0.374533	0.110773	0.377685
0610038L08Rik	0.001	0.001	0.001	0.001	0.001	0.0611519	0.001	0.216063
0610039K10Rik	0.355689	0.372499	0.689945	0.443724	0.497952	0.0908541	0.0639015	0.257873
0610040B10Rik	3.57961	0.443294	1.46657	1.73839	0.475178	0.724087	5.51868	1.22468
0610040F04Rik	0.001	0.0369197	0.001	0.131061	0.0831014	0.001	0.001	0.001
0610040J01Rik	0.0660127	0.0339455	0.001	0.001	0.0764692	0.001	0.440936	0.0603696
0610043K17Rik	0.48943	0.262723	0.001	0.001	0.001	0.001	0.001	0.32867
1100001G20Rik	6.8093	0.223366	0.001	0.001	0.957317	0.242936	44.8467	0.528406
1110001A16Rik	10.8466	2.94486	7.90847	3.1659	3.92428	6.83325	12.9591	3.97201
1110001J03Rik	129.406	55.8616	50.6597	37.451	16.0975	29.1105	87.426	15.8677
1110002L01Rik	1.72764	2.18702	2.38623	1.7967	2.32837	2.39666	1.93284	2.47757
1110004E09Rik	18.1424	18.6892	18.8999	10.3923	13.1999	19.5607	10.2581	11.2384
1110004F10Rik	44.5169	41.3968	48.9276	33.3752	44.5602	62.2147	65.6679	42.2487
1110006O24Rik	0.36957	1.46634	0.673613	0.871582	0.432871	0.818853	1.75129	1.24966
1110007C09Rik	55.325	78.8376	57.8637	54.2231	46.7673	39.7471	139.331	31.0397
1110008F13Rik	3.85912	23.5968	8.73612	25.5724	9.58079	18.2386	10.1543	13.4985
1110008J03Rik	2.91843	2.58013	2.91829	2.48237	2.85842	1.99542	0.962841	3.16097
1110008L16Rik	2.0828	3.29958	2.07326	3.07702	2.38445	3.74055	2.49388	3.06829
1110008P14Rik	20.4246	31.3523	17.5901	30.1635	12.7372	13.7441	78.2813	12.0502
1110012L19Rik	19.2086	11.4585	16.5753	12.1641	9.21305	18.8247	11.8191	16.4163
1110015O18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110017D15Rik	0.001	0.11932	0.001	0.001	0.234484	0.210048	0.402063	0.454727
1110018G07Rik	1.12588	4.49626	4.6495	4.22683	5.49234	5.22396	1.62489	7.30523
1110019D14Rik	0.505829	0.0435393	0.916983	0.736741	0.782595	1.74347	0.601893	1.00008
1110020A21Rik	0.405665	0.140021	0.196934	0.001	0.001	0.412784	0.0730449	0.146705
1110025L11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110028F11Rik	0.17757	0.001	0.001	0.001	0.001	0.001	0.0591612	0.001
1110028F18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110032A03Rik	10.3681	4.19003	7.73075	7.34814	3.30596	5.72874	7.09868	7.47402
1110032F04Rik	0.0467197	0.0717476	0.169048	0.0715385	0.216094	0.852072	1.03798	0.749432
