tracking_id	Inflammatory 1D NTX (a)	Inflammatory 1D NTX (b)	Inflammatory 2D NTX (a)	Inflammatory 2D NTX (b)	Inflammatory 2D NTX ©	Inflammatory 3D NTX (a)	Inflammatory 3D NTX (b)	Inflammatory 3D NTX ©	Inflammatory 4D NTX	Inflammatory 5D NTX	Inflammatory 6D NTX	Inflammatory 7D NTX (a)	Inflammatory 7D NTX (b)	Inflammatory 10D NTXs
0610005C13Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0610007N19Rik	0.686115	0.13007	0.0871651	0.166667	0.483358	1.52554	0.108938	0.41352	0.884555	1.68888	0.001	2.38335	1.62347	0.534939
0610007P14Rik	15.8271	25.5365	17.4169	22.4334	22.2949	23.6733	15.8341	13.8142	18.9989	15.853	0.001	18.1992	25.7776	12.183
0610008F07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0610009B14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0610009B22Rik	6.5549	3.37867	7.41147	11.7151	16.9692	8.80235	7.98546	16.7099	11.3207	16.4668	0.001	15.718	5.2647	8.1701
0610009D07Rik	67.6241	44.0287	55.6383	55.7785	60.7287	49.7363	27.3289	33.0631	35.6369	37.983	363.158	44.2457	55.815	44.9284
0610009L18Rik	0.568055	0.382047	1.24617	0.47398	1.69815	0.834624	0.859225	1.44806	1.12287	2.77993	0.001	4.57647	4.79478	2.71781
0610009O20Rik	4.09818	5.42258	7.10431	9.65819	6.04952	10.428	10.7517	6.87421	10.3694	9.97814	0.001	14.9907	10.1636	7.79348
0610010B08Rik	0.817918	0.194872	0.505624	0.403698	0.173947	0.0489781	0.001	0.401761	0.001	0.829099	0.001	0.167278	0.208995	0.001
0610010F05Rik	7.18703	1.7324	3.77751	5.42775	5.28925	0.504926	2.3327	3.25507	1.55338	3.67238	0.001	1.58492	1.56792	2.07517
