tracking_id	Muscle D0 NTX	Muscle 3D NTX (a)	Muscle 3D NTX (b)	Muscle 4D NTX	Muscle 5D NTX	Muscle 6D NTX	Muscle 10D NTX
0610005C13Rik	0.001	0.001	0.001	0.169653	0.220358	0.001	0.0661306
0610007N19Rik	3.02179	2.15079	3.51633	7.41335	11.8279	9.63296	10.2353
0610007P14Rik	15.0018	31.5076	26.4723	30.5113	20.8649	21.7869	19.4237
0610008F07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0610009B14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0610009B22Rik	5.90174	14.5618	8.10783	9.70614	14.6681	16.805	33.8059
0610009D07Rik	23.9325	75.8965	48.0095	68.1446	66.4982	56.9905	148.865
0610009L18Rik	2.6296	0.929709	2.43779	1.68855	2.35385	1.68694	2.64064
0610009O20Rik	16.6412	18.7679	26.6548	18.9013	13.9885	18.572	7.95503
0610010B08Rik	2.23786	1.72784	0.237205	0.663344	2.29813	1.8007	1.8815
0610010F05Rik	6.18713	10.3675	1.15237	3.1528	8.70472	5.41121	6.87622
0610010K14Rik	22.2896	48.8835	67.1367	56.8115	33.4369	34.545	13.4735
0610011F06Rik	11.886	10.0521	18.0911	9.85831	3.96029	5.26868	2.64167
0610012G03Rik	6.83803	12.4802	31.6223	18.6557	10.3488	15.7154	12.8024
0610012H03Rik	0.0895282	0.001	0.001	0.001	0.001	0.001	0.001
0610030E20Rik	4.54178	2.3534	1.62957	1.55773	4.87711	5.74522	6.73391
0610031J06Rik	10.9102	20.4579	36.3509	57.5194	39.171	42.1851	11.6337
0610031O16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0610037L13Rik	21.0785	21.2748	27.3429	28.3767	22.4404	29.6694	24.4495
0610038B21Rik	0.001	0.730686	2.0948	0.467158	0.488556	0.597296	0.326483
0610038L08Rik	0.001	0.001	0.001	0.001	0.0699984	0.001	0.001
0610039K10Rik	0.001	0.359707	0.0584828	0.161835	0.001	0.001	0.001
0610040B10Rik	0.001	2.03136	0.842262	0.935112	1.77797	4.40142	5.48519
0610040F04Rik	0.001	0.090392	0.001	0.001	0.0528885	0.001	0.102089
0610040J01Rik	0.283508	0.001	0.001	0.001	0.001	0.001	0.185813
0610043K17Rik	2.89884	0.001	0.203601	0.001	0.544379	0.001	0.139286
1100001G20Rik	82.579	0.001	0.001	0.001	0.298448	0.001	8.05718
1110001A16Rik	3.40201	9.65531	5.05751	4.62602	6.13035	3.64977	10.1653
1110001J03Rik	45.7734	56.6762	58.4908	61.0249	18.8978	32.468	29.1495
1110002L01Rik	4.1329	3.62506	1.2861	2.74668	4.03113	3.33336	3.0338
1110004E09Rik	5.31118	27.2341	20.4315	17.312	11.0344	14.7427	9.51313
1110004F10Rik	65.0587	90.1831	59.5327	75.8462	84.0366	81.8561	77.7342
1110006O24Rik	0.001	0.467949	1.06866	0.001	0.001	0.432321	0.209573
1110007C09Rik	10.3251	22.7525	43.3495	24.5191	9.55619	7.77958	15.2317
1110008F13Rik	8.15941	26.2155	63.4404	27.4343	14.9578	28.2695	4.07521
1110008J03Rik	1.72489	4.63832	4.19339	5.05294	2.12376	1.92496	0.315358
1110008L16Rik	3.11703	4.66739	6.47258	3.13172	4.33684	4.28179	3.82309
1110008P14Rik	5.34524	23.7559	64.6358	45.9276	14.7181	20.3683	11.419
1110012L19Rik	9.3103	8.88179	11.4859	12.5401	11.9657	17.0136	7.44823
