tracking_id	Muscle 1D NTX	Muscle 2D NTX	Muscle 3D NTX	Muscle 3D NTX	Muscle 5D NTX	Muscle 7D NTX	Muscle 10D NTX
0610005C13Rik	0.001	0.001	0.001	0.001	0.001	0.181935	0.23743
0610007N19Rik	1.79311	5.1684	1.51622	4.07688	14.733	10.7809	28.5828
0610007P14Rik	46.4438	25.9473	25.6075	27.3035	19.2096	20.3051	15.5335
0610008F07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0610009B14Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0610009B22Rik	22.1963	4.43031	14.4439	11.1398	18.1158	15.5271	11.0261
0610009D07Rik	77.4865	41.5128	100.596	87.5836	52.4334	45.7267	25.3868
0610009L18Rik	10.6032	2.32528	1.90813	4.90585	1.89457	5.79256	16.2209
0610009O20Rik	14.0435	15.3004	15.899	23.3819	18.2504	20.8822	26.2419
0610010B08Rik	1.64202	0.283833	0.666247	0.628901	2.20752	1.33234	0.001
0610010F05Rik	6.23995	1.87416	0.953787	2.87208	5.32748	2.76823	0.640889
0610010K14Rik	78.9417	52.0535	59.294	131.406	38.0193	51.7139	44.7905
0610011F06Rik	17.4735	9.85093	15.2676	20.1953	7.06466	16.2203	23.9698
0610012G03Rik	35.092	25.1575	49.2591	59.7523	13.3497	19.8975	43.0957
0610012H03Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.0841641
0610030E20Rik	2.19169	2.77726	2.24765	1.40694	3.79005	6.78455	4.59782
0610031J06Rik	19.9303	71.8684	125.788	57.6041	39.0411	37.8406	32.1679
0610031O16Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0610037L13Rik	25.3927	17.6594	26.117	31.4341	20.2424	31.8147	22.7969
0610038B21Rik	1.69354	1.333	1.19105	0.182627	0.626126	0.575887	1.71275
0610038L08Rik	0.0514293	0.001	0.001	0.001	0.239583	0.330473	0.001
0610039K10Rik	0.238174	0.220969	0.001	0.001	0.001	0.221818	0.144684
0610040B10Rik	4.16612	2.6091	2.832	1.79573	1.58004	2.08871	3.54784
0610040F04Rik	0.001	0.164596	0.001	0.001	0.001	0.001	0.0361413
0610040J01Rik	0.140801	1.76588	3.12129	0.33948	0.001	0.432812	1.13054
0610043K17Rik	0.001	0.001	0.001	0.001	0.31647	0.001	0.252047
1100001G20Rik	0.26266	11.1737	0.356667	0.001	1.06124	3.56112	3.57413
1110001A16Rik	6.4031	4.59253	12.8295	12.8186	9.21481	6.54391	8.74825
1110001J03Rik	81.407	29.8909	65.5988	134.195	33.5829	64.1909	104.798
1110002L01Rik	3.6405	1.88641	1.96623	1.10821	3.01879	3.49754	2.96237
1110004E09Rik	65.2562	12.5701	20.9221	26.828	11.3834	12.7759	14.6824
1110004F10Rik	97.1867	52.5412	67.2946	68.2701	77.7286	58.847	43.5601
1110006O24Rik	0.740978	0.723947	1.74832	1.09528	0.473439	2.97054	1.03899
1110007C09Rik	49.1734	106.298	81.9804	61.7648	4.91082	29.451	71.0096
1110008F13Rik	49.5129	49.9454	47.3425	77.0199	15.0985	12.7944	24.785
1110008J03Rik	6.0186	2.80058	3.21482	5.46837	2.82161	3.62047	5.98419
1110008L16Rik	4.63243	5.57605	5.01226	6.9492	5.55143	4.6692	1.63069
1110008P14Rik	59.5678	31.5741	53.5328	111.525	11.6393	24.7413	34.5529
1110012L19Rik	7.14298	8.6465	17.0111	18.1547	15.935	12.7909	12.4222
1110015O18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110017D15Rik	0.001	0.277506	0.001	0.001	0.001	0.001	0.0597037
1110018G07Rik	4.11293	6.23654	5.37705	4.60168	8.06269	5.95166	6.73619
1110019D14Rik	0.318066	0.258716	0.428303	0.620162	0.637938	0.880104	0.680968
1110020A21Rik	0.274988	0.25308	0.834455	1.08029	0.414279	1.07819	1.54017
1110025L11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110028F11Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.0892069
1110028F18Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110032A03Rik	2.56556	2.55469	7.75967	1.63629	5.16597	8.43097	6.24167
1110032F04Rik	0.197086	0.001	0.001	0.001	0.001	0.0359419	0.211298
1110034G24Rik	2.08881	3.16945	4.08063	3.29144	2.82189	4.85792	4.56154
1110035M17Rik	3.10217	0.714243	1.55849	0.001	0.773638	0.472623	1.5376
1110036E04Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110037F02Rik	6.90214	9.47309	5.46414	5.4288	12.462	8.35977	3.20788
1110038B12Rik	275.156	41.8598	206.628	262.074	146.87	246.803	142.176
1110038F14Rik	47.1516	23.6634	31.629	41.6707	22.0968	43.0198	28.0694
1110046J04Rik	0.937321	1.14089	5.16682	0.404706	3.26471	3.04538	4.65272
1110051M20Rik	9.17962	7.06245	11.4698	12.1713	16.6939	15.1922	13.0931
1110054M08Rik	5.39959	2.52705	1.66646	5.03404	4.55038	6.33298	15.8573
1110057K04Rik	10.5856	18.7821	18.2908	16.4613	18.1873	11.419	8.74988
1110058L19Rik	23.9962	9.08608	36.9444	30.4095	27.6542	19.0104	22.1559
1110059E24Rik	20.6936	8.67446	16.2788	13.0244	29.7468	14.9002	6.87389
1110059G10Rik	2.55251	1.26032	3.59018	1.03531	2.74006	3.6205	1.86039
1110059M19Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110065P20Rik	33.8195	19.6013	32.2719	51.7179	35.6304	37.1793	39.6903
1190002F15Rik	18.5603	9.07626	25.6615	39.4623	16.5266	19.6711	12.331
1190002N15Rik	14.1902	5.7926	15.6776	13.0921	46.2185	30.9055	4.59202
1190003J15Rik	0.001	0.001	0.001	0.161804	0.001	0.001	2.9074
1190003K10Rik	0.001	0.001	0.001	0.001	0.001	0.373692	0.001
1190005I06Rik	1.57979	1.07557	1.0114	4.93239	1.50636	1.22924	0.90126
1190007I07Rik	24.9766	9.92868	13.948	20.805	4.33516	17.2365	11.8829
1200011I18Rik	4.25673	3.3847	2.62708	1.84798	6.22347	4.20924	1.19986
1200014J11Rik	5.58643	3.66203	6.76854	5.92926	7.3319	5.49227	3.33864
1300002E11Rik	5.63441	1.65007	9.11377	6.3119	6.4864	14.8222	6.67917
1300002K09Rik	0.0514756	0.995936	10.1397	1.56264	0.123122	0.289634	0.0493647
1300015D01Rik	0.001	0.001	0.001	0.001	0.0426559	0.001	0.001
1300017J02Rik	0.0282664	0.0407065	0.001	0.001	0.001	0.001	0.0537117
1300018J18Rik	2.17154	5.0074	5.44954	4.55906	4.57385	7.42999	7.87323
1500002O10Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500004A13Rik	0.904405	0.601822	0.566562	0.0214929	1.51792	1.65578	1.42875
1500009C09Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500009L16Rik	0.536446	0.504261	0.463172	1.44561	1.93163	0.972499	3.53195
1500011B03Rik	6.54208	4.70456	4.92428	4.03366	3.56965	8.64464	5.19594
1500011K16Rik	72.6426	11.3353	28.6082	45.8867	8.38929	25.209	39.039
1500012F01Rik	118.243	11.8993	68.6235	73.6148	223.109	182.703	105.402
1500012K07Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1500015A07Rik	1.9784	0.708865	1.62212	2.96876	0.499881	2.78492	1.26802
1500015L24Rik	0.001	0.001	0.001	0.001	0.001	0.001	0.001
