pathName	score/relevance	genes
Pathways in cancer.Abl1-1;77	61.5232244466184	Abl1;Akt1;Akt2;Akt3;Bcr;Erbb2;Mapk1;Mapk3;Nfkb1;Nfkb2;Rassf1;Rela;Akt1;Akt2;Akt3;Ccnd1;Cdk4;Cdkn1a;Erbb2;Jup;Mapk1;Mapk3;Myc;Nfkb1;Nfkb2;Rassf1;Rela;Tcf7l1;Tcf7l2;Ccnd1;Cdk4;Cdkn1a;Erbb2;Fos;Jun;Jup;Mapk1;Mapk3;Myc;Nfkb1;Nfkb2;Rassf1;Rela;Tcf7l1;Tcf7l2;Epas1;Erbb2;Fos;Hif1a;Jun;Myc;Stat1;Stat3;Epas1;Fos;Hif1a;Jun;Myc;Pgf;Stat1;Stat3;Epas1;Fos;Hif1a;Jun;Myc;Stat1;Stat3;Vegfa;Epas1;Fos;Hif1a;Jun;Myc;Stat1;Stat3;Vegfb;Epas1;Fos;Hif1a;Jun;Myc;Stat1;Stat3;Vegfc;Cul2;Egln1;Egln2;Epas1;Hif1a;Rbx1;Tceb1;Tceb2;Vhl;Epas1;Hif1a;Tgfb1;Tgfb2;Tgfb3;Arnt;Epas1;Hif1a;Crebbp;Epas1;Hif1a;Epas1;Hif1a;Slc2a1;Ep300;Epas1;Hif1a
Renal cell carcinoma.Met-17;23	48.354286952875	Arnt;Crebbp;Egln1;Egln2;Ep300;Epas1;Hif1a;Epas1;Hif1a;Pdgfb;Epas1;Hif1a;Slc2a1;Epas1;Hif1a;Tgfb1;Epas1;Hif1a;Tgfb2;Epas1;Hif1a;Tgfb3;Epas1;Hif1a;Vegfa
Rap1 signaling pathway.Tln1-2;39	38.3324790495318	Adcy3;Adcy4;Adcy6;Calm1;Calm2;Calm3;Gnaq;Gnas;Adcy3;Adcy4;Adcy6;Calm1;Calm2;Calm3;Gnaq;Rapgef3;Rapgef4;Calm1;Calm2;Calm3;Gnaq;Plcb1;Plcb3;Plcb4;Plcg1;Rapgef3;Rapgef4;Gnaq;Plcb1;Plcb3;Plcb4;Plcg1;Prkd1;Prkd2;Prkd3;Rapgef3;Rapgef4;Rasgrp2;Rasgrp3;Gnaq;Plcb1;Plcb3;Plcb4;Prkd1;Prkd2;Prkd3;Rapgef1;Rapgef3;Rapgef4;Rasgrp2;Rasgrp3;Dock4;Kras;Lcp2;Nras;Prkd1;Prkd2;Prkd3;Rap1a;Rap1b;Rapgef1;Rapgef2;Rapgef3;Rapgef4;Rapgef5;Rapgef6;Rasgrp2;Rasgrp3;Rras;Sipa1;Sipa1l1;Sipa1l2;Mllt4;Rap1a;Rap1b;Sipa1;Cdc42;Rap1a;Rap1b;Rhoa;Cdc42;Ralgds;Rap1a;Rap1b;Pik3ca;Pik3cb;Pik3r1;Pik3r2;Pik3r3;Pik3r5;Rap1a;Rap1b;Map2k3;Map2k6;Rap1a;Rap1b;Map2k3;Map2k6;Mapk11;Map2k3;Map2k6;Mapk14;Map2k3;Map2k6;Mapk12
Toll-like receptor signaling pathway.Map3k8-1;12	24.6842345969478	Fos;Jun;Map3k7;Map3k8;Mapk1;Mapk3;Akt1;Akt2;Akt3;Fos;Jun;Map3k7;Map3k8;Nfkb1;Nfkbia;Akt1;Akt2;Akt3;Fos;Jun;Nfkb1;Nfkbia;Rela;Fos;Il1b;Jun;Nfkb1;Rela;Fos;Il6;Jun;Nfkb1;Rela;Ccl3;Fos;Jun;Nfkb1;Rela;Fos;Jun;Nfkb1;Rela;Tnf
Adherens junction.Erbb2-1;11	23.2890309770673	Acp1;Csnk2a1;Csnk2a2;Csnk2b;Ctnna1;Ctnnb1;Erbb2;Fyn;Igf1r;Iqgap1;Met;Ptpn1;Ptprb;Ptprf;Ptprm;Tcf7l1;Tcf7l2;Ctnna1;Ctnnd1;Erbb2;Fyn;Iqgap1;Met;Ptprm;Baiap2;Ctnna1;Ctnnd1;Iqgap1;Wasf2;Wasl;Actb;Actg1;Baiap2;Ctnna1;Iqgap1;Mllt4;Rhoa;Wasf2;Wasl;Actb;Actg1;Ctnna1;Lmo7;Mllt4;Sorbs1;Ssx2ip;Actb;Actg1;Ctnna1;Sorbs1;Vcl
Rap1 signaling pathway.Tln1-2;12	22.48962870637	Adcy3;Adcy4;Adcy6;Calm1;Calm2;Calm3;Gnaq;Gnas;Adcy3;Adcy4;Adcy6;Calm1;Calm2;Calm3;Gnaq;Rapgef3;Rapgef4;Calm1;Calm2;Calm3;Gnaq;Plcb1;Plcb3;Plcb4;Plcg1;Rapgef3;Rapgef4;Gnaq;Plcb1;Plcb3;Plcb4;Plcg1;Prkd1;Prkd2;Prkd3;Rapgef3;Rapgef4;Rasgrp2;Rasgrp3;Gnaq;Plcb1;Plcb3;Plcb4;Prkd1;Prkd2;Prkd3;Rapgef1;Rapgef3;Rapgef4;Rasgrp2;Rasgrp3;Epha2;Fgfr1;Fgfr3;Flt1;Flt4;Gnaq;Igf1r;Insr;Kdr;Kit;Met;Pdgfrb;Plcb1;Plcb3;Plcb4;Rapgef1;Tek;Crk;Crkl;Epha2;Fgfr1;Fgfr3;Flt1;Flt4;Igf1r;Insr;Kdr;Kit;Met;Pdgfrb;Rapgef1;Tek;Bcar1;Crk;Crkl;Epha2;Fgfr1;Fgfr3;Flt1;Flt4;Igf1r;Insr;Kdr;Kit;Met;Pdgfrb;Tek
Calcium signaling pathway	22.2733760548218	Orai1;Orai3;Stim1;Stim2;Atp2a1;Atp2a2;Atp2a3;Atp2b1;Atp2b4;Cacna1h;Calm1;Calm2;Calm3;Itpkb;Itpkc;Itpr1;Itpr2;Itpr3;Orai1;Orai3;P2rx4;P2rx7;Plcd1;Plcd3;Prkcg;Ptk2b;Slc25a4;Slc25a5;Vdac1;Vdac2;Vdac3;Calm1;Calm2;Calm3;Itpr1;Itpr2;Itpr3;Plcd1;Plcd3;Plce1;Prkcg;Adcy3;Calm1;Calm2;Calm3;Gnas;Plce1;Adcy3;Adcy4;Gnas;Plce1;Adcy3;Adcy4;Plce1;Prkaca;Adcy3;Adcy4;Plce1;Prkacb
AMPK signaling pathway	21.9525518291863	Pdpk1;Pik3ca;Pik3cb;Pik3r1;Pik3r2;Pik3r3;Pik3r5;Akt1;Akt2;Akt3;Pdpk1;Akt1;Akt2;Akt3;Prkaa1;Prkab1;Prkag1;Prkag2;Tsc1;Tsc2;Prkaa1;Prkab1;Prkag1;Prkag2;Rheb;Tsc1;Tsc2;Akt1s1;Mtor;Prkaa1;Prkab1;Prkag1;Prkag2;Rheb;Rptor;Cab39;Cab39l;Camkk1;Camkk2;Map3k7;Prkaa1;Prkab1;Prkag1;Prkag2;Stk11;Strada;Acaca;Prkaa1;Prkab1;Prkag1;Prkag2;Srebf1;Elavl1;Prkaa1;Prkab1;Prkag1;Prkag2;Eef2k;Prkaa1;Prkab1;Prkag1;Prkag2
MAPK signaling pathway.Ppm1a-1;20	20.9315050959323	Map2k3;Map2k4;Map2k6;Map2k7;Map3k1;Map3k7;Mapk8;Mapk8ip1;Mapk8ip3;Mapk9;Ppm1a;Map2k1;Map2k2;Map2k3;Map2k4;Map2k6;Map2k7;Map3k1;Map3k7;Mapk1;Mapk3;Mapk8;Mapk8ip1;Mapk9;Dusp1;Dusp10;Dusp16;Dusp2;Dusp3;Dusp5;Dusp6;Dusp7;Dusp8;Map2k1;Map2k2;Map2k3;Map2k4;Map2k6;Map2k7;Mapk1;Mapk3;Mapk8;Mapk8ip1;Mapk9;Ptprr;Dusp1;Dusp10;Dusp16;Dusp2;Dusp3;Dusp5;Dusp6;Dusp7;Dusp8;Map2k3;Map2k6;Mapk1;Mapk11;Mapk12;Mapk14;Mapk3;Mapk8;Mapk9;Ptprr;Elk1;Elk4;Mapk1;Mapk11;Mapk12;Mapk14;Mapk3;Mapk8;Mapk9;Srf;Mapk11;Mapk12;Mapk14;Mapk8;Mapk9;Trp53
Salmonella infection.Rab7-1;5	20.7708600888701	Rab7;Rilp;Dync1h1;Rilp;Dync1i2;Rilp;Dync1li2;Rilp;Dync1li1;Rilp
