pathName	score/relevance	genes
Melanogenesis.Gnas-1;5	29.4269563814247	Adcy4;Gnas;Adcy3;Gnas;Adcy6;Gnas;Adcy7;Gnas;Adcy9;Gnas
Pancreatic secretion	29.4269563812202	Adcy4;Gnas;Adcy3;Gnas;Adcy6;Gnas;Adcy7;Gnas;Adcy9;Gnas
Pancreatic cancer.Kras-1;13	20.2763520694671	Akt1;Akt2;Akt3;Arhgef6;Egfr;Erbb2;Kras;Pik3ca;Pik3cb;Pik3cd;Pik3r1;Pik3r2;Pik3r3;Pik3r5;Akt1;Akt2;Akt3;Arhgef6;Egfr;Erbb2;Kras;Nfkb1;Rela;Akt1;Akt2;Akt3;Arhgef6;Kras;Nfkb1;Rac1;Rela;Arhgef6;Kras;Rac1;Ralbp1;Kras;Ralbp1;Ralgds;Rala;Ralb;Ralbp1;Ralgds;Pld1;Rala;Ralb
Glucagon signaling pathway	18.6683986942523	Atf2;Atf4;Creb1;Creb3;Creb3l1;Creb3l2;Crebbp;Crtc2;Ep300;Ppp3ca;Ppp3cb;Ppp3cc;Ppp3r1;Ppp4c;Sik1;Sik2;Smek1;Smek2;Atf2;Atf4;Creb1;Creb3;Creb3l1;Creb3l2;Crebbp;Crtc2;Ep300;Ppp4c;Prkaca;Prkacb;Sik2;Smek1;Smek2;Atf2;Atf4;Cpt1a;Creb1;Creb3;Creb3l1;Creb3l2;Crebbp;Crtc2;Ep300;Foxo1;Atf2;Atf4;Creb1;Creb3;Creb3l1;Creb3l2;Crebbp;Crtc2;Ep300;Foxo1;G6pc3;Atf2;Atf4;Creb1;Creb3;Creb3l1;Creb3l2;Crebbp;Crtc2;Ep300;Foxo1;Pck2;Camk2d;Camk2g;Foxo1;Prmt1
Apoptosis	16.2595356358792	Apaf1;Birc2;Birc3;Casp9;Cycs;Xiap;Birc2;Birc3;Casp12;Casp3;Casp8;Casp9;Xiap;Birc2;Birc3;Casp3;Casp7;Casp8;Casp9;Xiap;Birc2;Birc3;Casp3;Casp6;Xiap
Inflammatory mediator regulation of TRP channels.Il1b-1;7	16.0285895114175	Map2k3;Map2k6;Mapk11;Map2k3;Map2k6;Mapk8;Map2k3;Map2k6;Mapk12;Map2k3;Map2k6;Mapk14;Map2k3;Map2k6;Mapk9
MAPK signaling pathway.Map2k5-3;49	15.469911873894	Mapk1;Mapk11;Mapk12;Mapk14;Mapk3;Mapkapk2;Rps6ka4;Rps6ka5;Mapk11;Mapk12;Mapk14;Mapkapk2;Mapkapk5;Atf2;Mapk11;Mapk12;Mapk14;Cdc25b;Mapk11;Mapk12;Mapk14;Ddit3;Mapk11;Mapk12;Mapk14;Mapk11;Mapk12;Mapk14;Max;Mapk11;Mapk12;Mapk14;Mef2c
Hippo signaling pathway	15.0422397014112	Smad7;Tgfb1;Tgfb2;Tgfb3;Tgfbr1;Tgfbr2;Yap1;Smad2;Smad3;Smad4;Smad7;Tgfbr1;Tgfbr2;Wwtr1;Yap1;Amot;Btrc;Csnk1d;Csnk1e;Dlg1;Dlg4;Fbxw11;Lats1;Lats2;Llgl1;Llgl2;Ppp1ca;Ppp1cb;Ppp1cc;Ppp2ca;Ppp2cb;Ppp2r1a;Ppp2r1b;Ppp2r2a;Ppp2r2d;Scrib;Smad1;Smad2;Smad3;Smad4;Smad7;Tcf7l1;Tcf7l2;Tead1;Tead2;Tead4;Trp53bp2;Wwtr1;Yap1;Ywhab;Ywhae;Ywhag;Ywhah;Ywhaq;Ywhaz;Lats1;Lats2;Ppp2ca;Ppp2cb;Ppp2r1a;Ppp2r1b;Ppp2r2a;Ppp2r2d;Stk3;Ajuba;Lats1;Lats2;Limd1;Stk3;Wtip;Ajuba;Limd1;Sav1;Wtip
Regulation of lipolysis in adipocytes	14.5743991759759	Lipe;Prkaca;Prkacb;Prkg1;Adcy3;Adcy4;Adcy6;Adcy7;Adcy9;Prkaca;Prkacb;Adcy3;Adcy4;Adcy6;Adcy7;Adcy9;Gnai1;Gnai2;Gnai3;Gnas;Adrb2;Gnas
Calcium signaling pathway	14.2755589034311	Adcy3;Calm1;Calm2;Calm3;Gnas;Plce1;Adcy3;Adcy4;Adcy7;Adcy9;Gnas;Plce1;Adora2a;Adrb2;Gnas
