pathName	score/relevance	genes
HIF-1 signaling pathway	100.598006874095	Egfr;Erbb2;Igf1r;Insr;Mtor;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Akt1;Akt2;Akt3;Mtor;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Akt1;Akt2;Akt3;Egln1;Egln2;Mtor;Prkca;Arnt;Crebbp;Egln1;Egln2;Ep300;Hif1a;Nfkb1;Rbx1;Rela;Stat3;Tceb1;Tceb2;Vhl;Arnt;Camk2d;Camk2g;Crebbp;Ep300;Hif1a;Arnt;Crebbp;Ep300;Hif1a;Pdk1;Angpt1;Arnt;Crebbp;Ep300;Hif1a;Aldoa;Arnt;Crebbp;Ep300;Hif1a;Arnt;Cdkn1a;Crebbp;Ep300;Hif1a;Arnt;Cdkn1b;Crebbp;Ep300;Hif1a;Arnt;Crebbp;Ep300;Gapdh;Hif1a;Arnt;Crebbp;Ep300;Hif1a;Hk1;Arnt;Crebbp;Ep300;Hif1a;Hk2;Arnt;Crebbp;Ep300;Hif1a;Hmox1;Arnt;Crebbp;Ep300;Hif1a;Ldha;Arnt;Crebbp;Ep300;Hif1a;Ltbr;Arnt;Crebbp;Ep300;Hif1a;Pfkfb3;Arnt;Crebbp;Ep300;Hif1a;Pfkl;Arnt;Crebbp;Ep300;Hif1a;Pgk1;Arnt;Crebbp;Ep300;Hif1a;Serpine1;Arnt;Crebbp;Ep300;Hif1a;Slc2a1;Arnt;Crebbp;Ep300;Hif1a;Tek;Arnt;Crebbp;Ep300;Hif1a;Timp1;Arnt;Crebbp;Ep300;Hif1a;Trf;Arnt;Crebbp;Ep300;Hif1a;Tfrc;Arnt;Crebbp;Ep300;Hif1a;Vegfa
MAPK signaling pathway.Prkacb-1;62	65.3684619600718	Prkaca;Prkacb;Rap1a;Rap1b;Braf;Kras;Mras;Nras;Rap1a;Rap1b;Rras;Rras2;Braf;Kras;Mras;Nras;Raf1;Rras;Rras2;Braf;Map2k1;Map2k2;Map2k3;Map2k4;Map2k7;Map3k8;Mapk1;Mapk3;Mapk8ip1;Raf1;Map2k3;Map2k4;Map2k7;Map3k8;Mapk8ip1;Ppm1a;Map2k3;Map2k4;Map3k5;Map3k8;Ppm1a;Traf2;Map2k3;Map3k5;Map3k7;Map3k8;Ppm1a;Traf2;Map3k7;Tab1;Tab2;Traf2;Tab1;Tab2;Tnfrsf1a;Traf2;Il1r1;Il1r2;Tab1;Tab2;Tnfrsf1a;Ecsit;Il1r1;Il1r2;Tab2;Tnfrsf1a;Traf6;Casp3;Il1r1;Il1r2;Tnfrsf1a;Casp3;Cdc42;Pak1;Pak2;Rac1;Map3k2;Pak1;Pak2;Map3k3;Pak1;Pak2
Cell cycle.Ttk-1;13	47.3168320538864	Mad1l1;Ttk;Bub1b;Bub3;Mad1l1;Mad2l1;Mad2l2;Anapc1;Anapc10;Anapc11;Anapc13;Anapc2;Anapc4;Anapc5;Anapc7;Bub1b;Bub3;Cdc14b;Cdc16;Cdc20;Cdc23;Cdc26;Cdc27;Fzr1;Mad2l1;Mad2l2;Anapc1;Anapc10;Anapc11;Anapc13;Anapc2;Anapc4;Anapc5;Anapc7;Ccna2;Ccnb1;Ccnb2;Ccnh;Cdc16;Cdc23;Cdc25a;Cdc25b;Cdc26;Cdc27;Cdk1;Cdk7;Fzr1;Gadd45a;Gadd45b;Gadd45g;Ccna2;Ccnb1;Ccnb2;Ccnd1;Ccnd2;Ccnd3;Ccne1;Ccne2;Ccnh;Cdc25a;Cdc25b;Cdk1;Cdk2;Cdk4;Cdk7;Gadd45a;Gadd45b;Gadd45g;Rb1;Trp53;Ccna2;Ccnd1;Ccnd2;Ccnd3;Ccne1;Ccne2;Ccnh;Cdc25a;Cdk1;Cdk2;Cdk4;Cdk7;Cdkn1a;Cdkn1b;Cdkn1c;Gadd45a;Gadd45b;Gadd45g;Rb1;Trp53;Ccna2;Ccnd1;Ccnd2;Ccnd3;Ccne1;Ccne2;Ccnh;Cdc25a;Cdk2;Cdk4;Cdk7;Cdkn1a;Cdkn1b;Cdkn1c;Cul1;Rb1;Rbx1;Skp1a;Skp2;Trp53;Ccna2;Ccnd1;Ccnd2;Ccnd3;Ccne1;Ccne2;Cdk2;Cdk4;Cdkn1a;Cul1;E2f1;E2f3;Rb1;Rbx1;Skp1a;Skp2;Tfdp1;Tfdp2;Trp53;Ccnd1;Ccnd2;Ccnd3;Cdk4;Cdkn1a;Cul1;E2f1;E2f3;E2f4;Rb1;Rbl1;Rbx1;Skp1a;Skp2;Tfdp1;Tfdp2;Trp53;Ccnd1;Ccnd2;Ccnd3;Cdk4;E2f1;E2f3;E2f4;Rb1;Rbl1;Rbl2;Tfdp1;Tfdp2
MAPK signaling pathway.Prkacb-1;34	47.2970381477979	Prkaca;Prkacb;Rap1a;Rap1b;Braf;Kras;Mras;Nras;Rap1a;Rap1b;Rras;Rras2;Braf;Kras;Mras;Nras;Raf1;Rras;Rras2;Braf;Map2k1;Map2k2;Map2k3;Map2k4;Map2k7;Map3k8;Mapk1;Mapk3;Mapk8ip1;Raf1;Map2k3;Map2k4;Map2k7;Map3k8;Mapk8ip1;Ppm1a;Map2k3;Map2k4;Map3k5;Map3k8;Ppm1a;Traf2;Map2k3;Map3k5;Map3k7;Map3k8;Ppm1a;Traf2;Chuk;Ikbkb;Ikbkg;Map3k14;Map3k7;Map3k8;Chuk;Ikbkb;Ikbkg;Map3k14;Nfkb1;Chuk;Ikbkb;Ikbkg;Map3k14;Nfkb2;Chuk;Ikbkb;Ikbkg;Map3k14;Rela;Chuk;Ikbkb;Ikbkg;Map3k14;Relb
Sphingolipid signaling pathway	42.5547791274643	Nsmaf;Tnfrsf1a;Tnfrsf1a;Tradd;Tradd;Traf2;Mapk1;Mapk3;Pld1;Pld2;Prkce;Sphk1;Traf2;Mapk1;Mapk3;Pld1;Pld2;Prkce;Sphk2;Traf2;Gnai2;Gnai3;Mapk1;Mapk3;Pld1;Pld2;Prkce;Gnai2;Gnai3;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Pld1;Pld2;Gab2;Gnai2;Gnai3;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Pdpk1;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Rac1
Ras signaling pathway.Vegfb-1;15	40.2740288957236	Grb2;Shc1;Shc2;Grb2;Sos1;Sos2;Kras;Mras;Nf1;Nras;Rasa1;Rasa2;Rasa3;Rasal2;Rras;Rras2;Sos1;Sos2;Kras;Mras;Nras;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Ralbp1;Rras;Rras2;Tiam1;Kras;Mras;Nras;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Rassf1;Rras;Rras2;Tiam1;Kras;Mras;Nras;Rassf1;Rassf5;Rras;Rras2;Brap;Kras;Mras;Nras;Rras;Rras2;Kras;Mras;Nras;Plce1;Rras;Rras2;Kras;Mras;Nras;Raf1;Rras;Rras2;Kras;Mllt4;Mras;Nras;Rras;Rras2
Pathways in cancer.Egln1-1;74	37.7018250580368	Cul2;Egln1;Egln2;Epas1;Hif1a;Rbx1;Tceb1;Tceb2;Vhl;Epas1;Figf;Fos;Hif1a;Jun;Myc;Stat1;Stat3;Epas1;Fos;Hif1a;Jun;Myc;Stat1;Stat3;Vegfa;Epas1;Fos;Hif1a;Jun;Myc;Stat1;Stat3;Vegfb;Epas1;Hif1a;Tgfb1;Tgfb2;Tgfb3;Arnt;Epas1;Hif1a;Crebbp;Epas1;Hif1a;Epas1;Hif1a;Slc2a1;Ep300;Epas1;Hif1a
Cell cycle.Ttk-1;24	36.8294061420123	Mad1l1;Ttk;Bub1b;Bub3;Mad1l1;Mad2l1;Mad2l2;Anapc1;Anapc10;Anapc11;Anapc13;Anapc2;Anapc4;Anapc5;Anapc7;Bub1b;Bub3;Cdc14b;Cdc16;Cdc20;Cdc23;Cdc26;Cdc27;Fzr1;Mad2l1;Mad2l2;Anapc1;Anapc10;Anapc11;Anapc13;Anapc2;Anapc4;Anapc5;Anapc7;Ccna2;Ccnb1;Ccnb2;Ccnh;Cdc16;Cdc23;Cdc25a;Cdc25b;Cdc26;Cdc27;Cdk1;Cdk7;Fzr1;Gadd45a;Gadd45b;Gadd45g;Ccna2;Ccnb1;Ccnb2;Ccnd1;Ccnd2;Ccnd3;Ccne1;Ccne2;Ccnh;Cdc25a;Cdc25b;Cdk1;Cdk2;Cdk4;Cdk7;Gadd45a;Gadd45b;Gadd45g;Rb1;Trp53;Ccna2;Ccnb1;Ccnb2;Ccnd1;Ccnd2;Ccnd3;Ccne1;Ccne2;Cdc25a;Cdc25b;Cdk1;Cdk2;Cdk4;Mdm2;Rb1;Trp53;Ccnb1;Ccnb2;Cdc25a;Cdc25b;Cdk1;Mdm2;Plk1;Trp53;Cdc25a;Cdc25b;Chek2;Mdm2;Plk1;Trp53;Atm;Atr;Chek2;Crebbp;Ep300;Mdm2;Prkdc;Trp53
Jak-STAT signaling pathway	35.0756054102891	Ghr;Ifnar1;Ifnar2;Ifngr1;Ifngr2;Il10rb;Il11ra1;Il13ra1;Il15ra;Il3ra;Il4ra;Il6;Il6st;Lif;Lifr;Osmr;Ghr;Ifnar1;Ifnar2;Ifngr1;Ifngr2;Il10rb;Il11ra1;Il13ra1;Il15ra;Il3ra;Il4ra;Il6st;Jak1;Jak2;Lifr;Osmr;Ptpn2;Socs1;Socs2;Socs3;Socs5;Socs6;Socs7;Stam;Stam2;Tyk2;Jak1;Jak2;Ptpn2;Socs1;Socs2;Socs3;Socs5;Socs6;Socs7;Stat1;Stat2;Stat3;Stat5a;Stat5b;Stat6;Tyk2;Crebbp;Ep300;Fhl1;Jak1;Jak2;Pias1;Pias2;Pias3;Ptpn2;Stat1;Stat2;Stat3;Stat5a;Stat5b;Stat6;Tyk2;Aox1;Stat1;Stat2;Stat3;Stat5a;Stat5b;Stat6;Bcl2l1;Stat1;Stat2;Stat3;Stat5a;Stat5b;Stat6;Ccnd1;Stat1;Stat2;Stat3;Stat5a;Stat5b;Stat6;Ccnd2;Stat1;Stat2;Stat3;Stat5a;Stat5b;Stat6;Ccnd3;Stat1;Stat2;Stat3;Stat5a;Stat5b;Stat6;Cdkn1a;Stat1;Stat2;Stat3;Stat5a;Stat5b;Stat6;Irf9;Stat1;Stat2;Stat3;Stat5a;Stat5b;Stat6;Mcl1;Stat1;Stat2;Stat3;Stat5a;Stat5b;Stat6;Myc;Stat1;Stat2;Stat3;Stat5a;Stat5b;Stat6
Fc gamma R-mediated phagocytosis.Lyn-1;11	34.9736764537869	Gab2;Lyn;Gab2;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Syk;Arf6;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Pld1;Pld2;Syk;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Plcg1;Pld1;Pld2;Syk;Bin1;Dnm2;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Akt1;Akt2;Akt3;Pik3ca;Pik3r1;Pik3r2;Pik3r3;Myo10;Pik3ca;Pik3r1;Pik3r2;Pik3r3
