pathName	score/relevance	genes
Regulation of actin cytoskeleton.F2r-1;49	47.0032162386816	Arhgef1;Arhgef12;Arhgef6;Arhgef7;Gna12;Gna13;Arhgef1;Arhgef12;Arhgef6;Arhgef7;Rhoa;Arhgef6;Arhgef7;Dock1;Pak1;Pak2;Pak4;Rac1;Rhoa;Tiam1;Vav2;Vav3;Arhgef6;Dock1;Pak1;Pak2;Pak4;Rac1;Rhoa;Rock1;Rock2;Tiam1;Vav2;Vav3;Arhgef6;Kras;Mras;Nras;Pak1;Pak2;Pak4;Rhoa;Rock1;Rock2;Rras;Rras2;Tiam1;Vav2;Vav3;Kras;Mras;Nras;Pik3ca;Rras;Rras2;Tiam1;Vav2;Vav3;Kras;Mras;Nras;Pik3cd;Rras;Rras2;Tiam1;Vav2;Vav3;Kras;Mras;Nras;Pik3r1;Rras;Rras2;Tiam1;Vav2;Vav3;Kras;Mras;Nras;Pik3r2;Rras;Rras2;Tiam1;Vav2;Vav3;Kras;Mras;Nras;Pik3r3;Rras;Rras2;Tiam1;Vav2;Vav3;Kras;Mras;Nras;Pik3r5;Rras;Rras2;Tiam1;Vav2;Vav3;Kras;Mras;Nras;Rras;Rras2;Sos1;Sos2
Long-term potentiation	42.6122162372208	Calm1;Calm2;Calm3;Camk2d;Camk2g;Ppp1ca;Ppp1cb;Ppp1cc;Calm1;Calm2;Calm3;Camk2d;Camk2g;Kras;Mapk1;Mapk3;Nras;Calm1;Calm2;Calm3;Camk4;Mapk1;Mapk3;Calm1;Calm2;Calm3;Itpr1;Plcb3;Plcb4;Calm1;Calm2;Calm3;Itpr2;Plcb3;Plcb4;Calm1;Calm2;Calm3;Itpr3;Plcb3;Plcb4;Calm1;Calm2;Calm3;Ppp3cb;Calm1;Calm2;Calm3;Ppp3cc;Calm1;Calm2;Calm3;Ppp3ca;Cacna1c;Calm1;Calm2;Calm3;Calm1;Calm2;Calm3;Ppp3r1
cAMP signaling pathway	40.8161354776744	Ednra;Gabbr1;Gnai2;Gnai3;Adcy4;Calm1;Calm2;Calm3;Camk2d;Camk2g;Camk4;Gnai2;Gnai3;Gnas;Adcy9;Calm1;Calm2;Calm3;Camk2d;Camk2g;Camk4;Gnai2;Gnai3;Gnas;Adcy2;Calm1;Calm2;Calm3;Camk2d;Camk2g;Camk4;Gnai2;Gnai3;Gnas;Adcy6;Calm1;Calm2;Calm3;Camk2d;Camk2g;Camk4;Gnai2;Gnai3;Gnas;Adcy7;Calm1;Calm2;Calm3;Camk2d;Camk2g;Camk4;Gnai2;Gnai3;Gnas;Adcy3;Calm1;Calm2;Calm3;Camk2d;Camk2g;Camk4;Gnai2;Gnai3;Gnas;Adcy5;Calm1;Calm2;Calm3;Camk2d;Camk2g;Camk4;Gnai2;Gnai3;Gnas;Adcyap1r1;Gnas;Npr1;Vipr2
Insulin signaling pathway.Prkab2-1;17	38.8995044223374	Acacb;Prkaa1;Prkab1;Prkab2;Prkag1;Prkag2;Srebf1;Acaca;Prkaa1;Prkab1;Prkab2;Prkag1;Prkag2;Srebf1;Prkci;Srebf1;Inpp5k;Inppl1;Pdpk1;Pik3ca;Pik3cd;Pik3r1;Pik3r2;Pik3r3;Pik3r5;Prkci;Akt1;Akt2;Akt3;Inpp5k;Inppl1;Mtor;Pdpk1;Pik3ca;Pik3cd;Pik3r1;Pik3r2;Pik3r3;Pik3r5;Akt1;Akt2;Akt3;Inpp5k;Inppl1;Mtor;Pik3ca;Pik3cd;Pik3r1;Pik3r2;Pik3r3;Pik3r5;Rheb;Akt1;Akt2;Akt3;Rheb;Tsc1;Tsc2;Akt1;Akt2;Akt3;Gsk3b;Ppp1ca;Ppp1cb;Ppp1cc;Gsk3b;Gys1;Ppp1ca;Ppp1cb;Ppp1cc;Calm1;Calm2;Calm3;Phka1;Phka2;Phkb;Phkg2;Ppp1ca;Ppp1cb;Ppp1cc;Calm1;Calm2;Calm3;Phka1;Phka2;Phkb;Phkg2;Pygb;Calm1;Calm2;Calm3;Phka1;Phka2;Phkb;Phkg2;Pygl;Calm1;Calm2;Calm3;Phka1;Phka2;Phkb;Phkg2;Pygm
Neurotrophin signaling pathway	36.3736828131332	Crk;Crkl;Frs2;Kidins220;Crk;Crkl;Rapgef1;Rap1a;Rap1b;Rapgef1;Braf;Kras;Nras;Rap1a;Rap1b;Braf;Kras;Map2k1;Map2k2;Nras;Prkcd;Raf1;Kras;Map2k1;Map2k2;Mapk1;Mapk3;Nras;Prkcd;Kras;Mapk1;Mapk3;Nras;Ntrk2;Prkcd;Rps6ka2;Rps6ka3;Kras;Mapk1;Mapk3;Nras;Ntrk2;Rps6ka2;Rps6ka3;Sos1;Sos2;Gab1;Kras;Nras;Ntrk2;Ptpn11;Sos1;Sos2;Gab1;Grb2;Ntrk2;Ptpn11;Sos1;Sos2;Gab1;Grb2;Ntrk2;Shc1;Shc2
Ras signaling pathway.Rasa1-1;12	29.4987169469237	Kras;Mras;Nf1;Nras;Rasa1;Rasa2;Rasa3;Rasal2;Rras;Rras2;Sos1;Sos2;Kras;Mras;Nras;Pik3ca;Pik3cd;Pik3r1;Pik3r2;Pik3r3;Pik3r5;Ralbp1;Rras;Rras2;Tiam1;Kras;Mras;Nras;Pik3ca;Pik3cd;Pik3r1;Pik3r2;Pik3r3;Pik3r5;Rassf1;Rras;Rras2;Tiam1;Kras;Mras;Nras;Rassf1;Rassf5;Rras;Rras2;Brap;Kras;Mras;Nras;Rras;Rras2;Kras;Mras;Nras;Plce1;Rras;Rras2;Kras;Mras;Nras;Raf1;Rras;Rras2;Kras;Mllt4;Mras;Nras;Rras;Rras2
Tuberculosis.Il10rb-26;33	25.3662832026183	Eea1;Rab5a;Rab5b;Rab5c;Rab7;Eea1;Pik3c3;Rab5a;Rab5b;Rab5c;Camk2d;Camk2g;Pik3c3;Rab5a;Rab5b;Rab5c;Calm1;Calm2;Calm3;Camk2d;Camk2g;Calm1;Calm2;Calm3;Ppp3ca;Calm1;Calm2;Calm3;Ppp3cb;Calm1;Calm2;Calm3;Ppp3cc;Calm1;Calm2;Calm3;Ppp3r1
Amphetamine addiction	25.1659989862483	Atf2;Atf4;Atf6b;Camk2d;Camk2g;Camk4;Creb1;Creb3;Creb3l1;Creb3l2;Creb5;Ppp1ca;Ppp1cb;Ppp1cc;Calm1;Calm2;Calm3;Camk2d;Camk2g;Camk4;Calm1;Calm2;Calm3;Ppp3ca;Calm1;Calm2;Calm3;Ppp3cb;Calm1;Calm2;Calm3;Ppp3cc;Calm1;Calm2;Calm3;Ppp3r1
Phosphatidylinositol signaling system	24.9228736258969	Cdipt;Inpp4a;Inpp5b;Inpp5e;Mtmr1;Mtmr14;Mtmr2;Mtmr3;Mtmr4;Mtmr6;Ocrl;Pi4k2a;Pi4k2b;Pi4ka;Pi4kb;Pik3c2a;Pik3c2b;Pik3c3;Pik3ca;Pik3cd;Pik3r1;Pik3r2;Pik3r3;Pik3r5;Pikfyve;Pip4k2a;Pip4k2b;Pip4k2c;Pip5k1a;Pip5k1c;Plcb3;Plcb4;Plcd1;Plcd3;Plce1;Plcg1;Pten;Synj1;Synj2;Tmem55a;Tmem55b;Cdipt;Dgka;Dgkd;Dgkq;Dgkz;Inpp1;Inpp4a;Inpp5a;Inpp5b;Inpp5e;Inpp5k;Inppl1;Mtmr1;Mtmr14;Mtmr2;Mtmr3;Mtmr4;Mtmr6;Ocrl;Pi4k2a;Pi4k2b;Pi4ka;Pi4kb;Pik3c2a;Pik3c2b;Pik3c3;Pik3ca;Pik3cd;Pik3r1;Pik3r2;Pik3r3;Pik3r5;Pikfyve;Pip4k2a;Pip4k2b;Pip4k2c;Pip5k1a;Pip5k1c;Plcb3;Plcb4;Plcd1;Plcd3;Plce1;Plcg1;Pten;Synj1;Synj2;Cdipt;Dgka;Dgkd;Dgkq;Dgkz;Impa1;Impad1;Inpp1;Inpp4a;Inpp5a;Inpp5b;Inpp5e;Inpp5k;Inppl1;Mtmr1;Mtmr14;Mtmr2;Mtmr3;Mtmr4;Mtmr6;Ocrl;Pi4k2a;Pi4k2b;Pi4ka;Pi4kb;Pik3c2a;Pik3c2b;Pik3c3;Pik3r1;Pik3r2;Pik3r3;Pik3r5;Pikfyve;Plcb3;Plcb4;Plcd1;Plcd3;Plce1;Plcg1;Pten;Synj1;Synj2;Cdipt;Cds2;Dgka;Dgkd;Dgkq;Dgkz;Impa1;Impad1;Mtmr1;Mtmr14;Mtmr2;Mtmr3;Mtmr4;Mtmr6;Pi4k2a;Pi4k2b;Pi4ka;Pi4kb;Pik3c2a;Pik3c2b;Pik3r1;Pik3r2;Pik3r3;Pik3r5;Pikfyve;Plcb3;Plcb4;Plcd1;Plcd3;Plce1;Plcg1;Pten
Non-small cell lung cancer.Erbb2-1;18	23.02516536638	Egfr;Eml4;Erbb2;Kras;Pik3ca;Pik3cd;Egfr;Eml4;Erbb2;Kras;Sos1;Sos2;Eml4;Kras;Nras;Sos1;Sos2;Araf;Braf;Kras;Nras;Prkca;Raf1;Araf;Braf;Kras;Map2k1;Map2k2;Raf1;Kras;Map2k1;Map2k2;Mapk1;Mapk3;Kras;Mapk1;Mapk3;Rassf1;Kras;Rassf1;Rassf5
