SPOT	Gene Symbol	0h	0.5h	3h	6h	12h
1	ZFX	-0.021	0.225	0.338	-0.059	-0.033
2	ZNF133	0.391	0.385	0.302	0.169	0.385
3	USP2	-0.517	-0.483	-0.024	-0.318	-0.364
4	DSCR1L1	0.138	-0.644	-0.495	-0.809	-0.105
5	WNT5A	-0.004	-0.112	-0.203	-0.126	-0.074
6	VHL	0.073	-0.041	0.064	-0.064	0.198
7	TCF3	0.2	-0.083	0.151	-0.018	0.125
8	TCN2	-0.217	-0.611	-0.43	-0.436	-0.185
9	TIMP1	-0.177	0.234	0.177	-0.06	-0.115
10	SERPINA7	0.799	-0.522	-0.129	-0.249	-0.103
11	THBD	-0.596	-0.777	-0.534	-0.818	-0.334
12	EPHA2	0.247	0.278	1.231	-0.147	-0.121
13	RBM5	0.378	0.488	0.331	0.36	0.358
14	SFRS10	0.182	0.449	0.269	0.092	-0.322
15	SLC16A4	0.558	-0.138	-0.218	0.265	0.718
16	C20orf16	0.128	-0.197	0.844	0.133	0.124
17	RBM3	-0.377	0.884	0.941	0.41	0.143
18	C3AR1	-0.231	-0.424	0.083	-0.299	-0.268
19	MLF2	0.087	0.176	0.279	-0.026	-0.08
20	ABCC5	0.14	0.048	0.113	0.239	0.461
21	DAB2	0.397	-0.358	-0.559	-1.322	-0.952
22	POLRMT	-0.125	-0.597	-0.204	-0.656	-0.245
23	DECR1	0.433	0.313	-0.181	-0.292	-0.105
24		0.35	-0.155	0.329	-0.006	0.091
25	MAC30	0.033	-0.163	-0.554	-0.953	-0.511
26	PPFIA1	0.491	0.405	0.471	0.535	0.514
27	IGF2	0.08	-0.323	-0.157	-0.47	-0.078
28	BIRC3	0.278	-0.024	3.343	3.097	2.287
29	ELAVL1	0.313	0.468	0.452	0.172	0.153
30		0.362	0.472	0.364	0.402	0.162
31	ZNF148	0.334	0.584	0.188	0.417	0.367
32	TP53BP2	0.013	0.294	0.563	0.311	0.4
33		-0.057	-0.389	-0.271	-0.551	-0.145
34	OSBPL3	0.164	0.204	0.282	0.025	0.305
35	MAP4K2	0.322	0.051	0.161	0.15	0.217
36	ABCB10	0.132	0.739	0.497	0.682	0.507
37	EHHADH	0.211	-0.1	-0.275	-0.532	-0.257
38	EDNRB	0.361	-0.082	0.15	-0.036	0.018
39	EDG1	-0.039	-0.362	-0.217	-0.197	-0.298
40	MAPK4	-0.374	-0.494	-0.53	-0.507	-0.396
41	SLC1A3	0.07	-0.311	-0.912	-2.148	-2.252
42	ELF1	0.484	0.014	-0.048	-0.593	-0.573
43	CTH	-0.332	-1.167	-0.803	-0.439	-0.999
44	CCND2	0.056	-0.611	-0.045	-0.436	-0.378
45	CNGB1	0.074	0	0.08	-0.064	-0.203
46	CRYM	-0.343	-0.766	-0.312	-0.469	-1.073
47	CNTN1	-0.118	-1.273	-0.142	-0.183	0.003
48	C8A	-0.058	-0.551	-0.192	-0.102	-0.233
49	CXCR4	-0.419	1.737	-0.711	-0.675	-0.287
50	SFRS4	0.01	-0.485	0.039	-0.016	-0.113
51	SFRS1	0.017	0.573	0.431	-0.002	-0.161
52	PBX2	0.305	-0.216	0.133	0.122	0.251
53	PLEK	-0.586	-0.94	-0.327	-0.53	-0.249
54	SLC15A2	0.073	-0.642	-0.631	-0.586	-0.457
55	HLA-DPB1	0.045	-0.208	0.158	-0.015	-0.099
56	MST1	0.095	-0.415	-0.12	-0.494	-0.406
57	MEF2A	0.002	0.036	0.492	0.472	0.32
58	EPRS	0.07	0.183	0.099	0.049	0.116
59	HLA-DQB1	-0.062	-0.069	-0.006	-0.394	0.032
60	MHC2TA	-0.415	-0.63	-0.209	-0.64	-0.247
61	PTK2	0.15	0.128	0.106	0.125	0.174
