tracking_id	locus	FAP 0D NTX	FAP 1D NTX	FAP 2D NTX (a)	FAP 2D NTX (b)	FAP 2D NTX ©	FAP 3D NTX (a)	FAP 3D NTX (b)	FAP 3D NTX ©	FAP 4D NTX (a)	FAP 4D NTX (b)	FAP 5D NTX	FAP 6D NTX	FAP 7D NTX	FAP 10D NTX	FAP 14D NTX
0610005C13Rik	chr7:45567794-45575176	0.182487	0.237159	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0748177	0.0523663
0610007N19Rik	chr15:32240567-32244662	63.8904	19.7528	27.8025	42.2427	24.1543	73.0086	53.6503	62.6859	40.901	41.0611	60.9432	51.7801	78.5201	45.432	44.5496
0610007P14Rik	chr12:85815454-85824545	25.0266	46.4124	34.7795	47.2854	48.3005	30.0013	22.9501	28.7752	14.0654	19.9857	22.5588	19.7907	31.889	15.4744	20.8711
0610008F07Rik	chr2:163493803-163541721	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0610009B14Rik	chr12:80686374-80692466	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0610009B22Rik	chr11:51685384-51688634	24.5828	19.2076	15.079	12.7441	13.8267	8.93975	15.1823	9.99399	8.81189	4.53351	14.2199	12.96	16.0693	16.9132	18.9794
0610009D07Rik	chr12:4817607-4827659	57.9512	58.5873	48.5143	45.5081	44.7845	39.0793	49.666	27.6103	32.8011	20.7125	36.5784	26.9592	59.0462	34.4461	43.3135
0610009L18Rik	chr11:120348677-120351190	4.40962	0.496272	1.785	0.001	1.84798	0.889241	1.72333	2.84306	1.15335	1.11078	0.984292	1.55834	0.001	1.81758	2.72533
0610009O20Rik	chr18:38250248-38262629	12.9501	15.2121	10.3102	11.3351	6.98304	14.6968	9.03258	14.4222	8.74718	11.0122	9.59484	9.20324	8.6882	9.90102	10.6562
0610010B08Rik	chr2:175192004-175338212	1.5841	1.43326	1.44191	0.001	1.98157	0.42835	1.89918	0.105299	2.13948	0.532271	1.41497	2.70586	0.258737	2.72916	2.19677
0610010F05Rik	chr11:23573775-23633631	5.06582	6.57066	4.61196	2.33678	5.00724	0.435214	3.4466	0.524082	3.94045	1.65658	3.87944	4.3498	0.920975	5.71845	6.81633
0610010K14Rik	chr11:70235203-70237914	50.2946	36.9628	29.8566	38.9119	18.1741	54.4776	39.2404	37.4347	17.5637	30.0374	18.5247	24.1712	19.6886	18.4403	24.4846
0610011F06Rik	chr17:25875499-25877163	22.5645	7.70474	3.40754	6.69279	1.97439	8.09376	10.8431	6.91533	3.68528	10.4944	5.7213	6.77899	10.0951	8.55711	10.2616
0610012G03Rik	chr16:31947050-31948521	20.5927	10.4455	10.3885	12.7891	10.8022	23.6581	23.8582	30.1357	8.12627	17.3443	9.80584	8.28414	14.5173	10.7095	8.00577
0610012H03Rik	chr2:105224341-105379860	0.0640899	0.001	0.001	0.001	0.0814149	0.001	0.0819453	0.001	0.149066	0.001	0.166674	0.001	0.001	0.1266	0.001
0610030E20Rik	chr6:72347316-72353160	3.5329	2.62914	2.70024	2.21717	2.51272	2.8284	4.43123	2.60102	5.03296	3.05544	4.40819	5.20394	5.83182	7.13844	7.85244
0610031J06Rik	chr3:88325022-88328631	55.2693	54.3678	72.0979	120.395	31.9926	134.703	76.4443	98.4162	68.9512	73.8187	76.8128	77.2263	30.9589	54.8729	49.6274
0610031O16Rik	chr3:138210716-138239663	0.001	0.171687	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.339945	0.001	0.001	0.0847897	0.0756579
0610037L13Rik	chr4:107889898-107897802	31.6471	23.4647	22.0888	30.3531	17.8916	32.9249	27.8923	29.556	18.516	22.7948	22.1308	21.5363	48.6601	23.1602	24.6739
0610038B21Rik	chr8:77517055-77518578	1.84482	2.0932	1.02472	2.27779	1.7375	2.75142	2.03362	0.942747	0.345309	3.16842	0.496391	0.525381	0.328404	0.628445	0.666491
0610038L08Rik	chr17:29578815-29596305	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.112963	0.001	0.001	0.001	0.001	0.0958646	0.001
0610039K10Rik	chr2:163644849-163645800	0.111984	0.001	0.44234	0.001	0.001	1.70298	0.001	0.001	0.0845035	0.180864	0.713217	0.452462	0.001	0.001	0.0636018
0610040B10Rik	chr5:143329307-143332704	1.39212	0.001	0.840228	0.001	0.621194	0.493298	4.72681	0.746801	1.62937	0.001	1.61488	1.70071	0.001	0.968772	1.24051
0610040F04Rik	chr6:108577038-108660934	0.001	0.001	0.001	0.001	0.001	0.0850022	0.001	0.0858439	0.0427637	0.0448928	0.0716334	0.001	0.001	0.001	0.0804616
0610040J01Rik	chr5:63812494-63899619	0.0504067	0.001	0.001	0.001	0.001	0.625594	0.291206	0.0789743	0.236309	0.288974	0.329662	0.0698029	0.001	0.200921	0.0590796
0610043K17Rik	chr4:101353782-101399185	1.20549	0.746028	0.511122	0.001	0.246957	0.891229	0.493486	0.599876	0.577905	0.31809	0.246611	0.001	0.001	1.09284	0.983233
1100001G20Rik	chr11:83746939-83752646	1.75442	0.408714	0.001	2.25231	0.208645	2.98189	0.41412	1.00316	0.468751	1.07781	0.001	0.001	0.001	1.17036	0.178462
1110001A16Rik	chr17:78916498-78921048	12.261	8.91672	5.58377	5.24159	6.05108	8.04029	6.99399	4.47116	3.90917	3.86624	4.81414	3.94078	19.2027	5.55373	6.6599
1110001J03Rik	chr6:38534860-38539449	125.823	20.6237	22.186	15.5964	13.4084	48.6562	38.0833	30.7539	14.6142	21.3103	15.2868	16.0995	21.6455	24.911	27.726
1110002L01Rik	chr12:3403882-3426747	1.79284	2.58193	2.3315	1.58001	2.08912	1.14654	1.86135	0.750528	1.82854	1.23016	1.86655	2.35734	1.91218	1.70441	1.80461
1110004E09Rik	chr16:90925810-90934849	15.9876	21.3829	11.1515	6.1956	6.62065	5.89225	8.26371	3.24558	7.21869	6.31423	4.04854	4.87766	5.8253	7.19555	9.696
1110004F10Rik	chr7:116093379-116105210	67.8839	75.3678	61.0286	66.1131	59.4611	46.3737	48.5978	36.8976	37.2753	31.846	51.3843	40.9998	60.5321	39.3217	55.7757
1110006O24Rik	chr5:115631048-115631816	0.295962	0.374928	0.768437	1.02407	1.84194	1.33484	1.47639	0.112319	0.437911	1.77801	0.742628	1.3731	2.80022	1.01602	0.0825584
1110007C09Rik	chr13:49202950-49216026	29.2277	27.0821	14.3231	14.4983	13.628	39.0277	22.8838	20.1278	9.51854	19.7718	9.11354	10.9271	17.0712	15.6354	12.3218
1110008F13Rik	chr2:156863121-156873562	15.4378	15.6352	15.9788	17.4622	16.8888	26.749	17.342	24.2647	9.17691	15.7098	12.5489	7.90947	10.6257	9.87398	11.7675
1110008J03Rik	chr5:120609059-120612589	4.54478	3.7671	4.60649	2.20014	0.761357	2.56221	2.43512	2.63885	1.59795	2.48515	2.47736	2.82296	0.872052	3.01258	1.93174
1110008L16Rik	chr12:55302636-55382491	1.78979	2.50996	2.79038	4.61419	2.88495	2.57082	1.62267	2.16367	1.7814	1.7107	2.32516	1.65534	3.49807	1.86759	1.14622
1110008P14Rik	chr2:32379100-32381915	34.007	15.5867	11.5322	23.8293	7.37297	42.0808	23.8208	43.1773	11.0713	30.82	13.6329	11.0353	13.7819	12.9081	8.96919
1110012L19Rik	chrX:70385912-70389416	35.7278	13.7331	13.2546	23.5627	8.96447	20.5405	12.7948	14.6861	11.1961	10.3367	19.2422	11.7052	10.1649	13.6547	18.3003
1110015O18Rik	chr3:4798707-4814911	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110017D15Rik	chr4:41505008-41517333	0.367974	0.001	0.001	0.001	0.001	0.001	0.350724	0.001	0.001	0.001	0.001	0.001	0.001	0.0593609	0.001
1110018G07Rik	chr12:84918148-84970886	3.12237	7.45065	7.9076	6.81868	8.73996	4.84841	4.24878	4.84578	7.10709	6.28429	5.27887	5.04954	3.61974	6.29034	5.75172
1110019D14Rik	chr6:13871568-13896421	0.842902	0.597037	1.21791	0.46409	0.905788	0.300348	1.40895	0.001	0.803902	0.211704	0.75851	1.87317	2.00766	1.49339	1.77265
1110020A21Rik	chr17:84917181-84957710	0.901295	0.2642	0.168414	0.001	0.241509	0.001	0.373563	0.001	0.0962633	0.310749	0.524197	0.001	0.001	0.32534	1.02732
1110025L11Rik	chr16:89063409-89064002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110028F11Rik	chr11:87699523-87705327	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110028F18Rik	chr8:106587142-106594820	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110032A03Rik	chr9:50762827-50768152	9.41787	2.74442	3.94489	2.29608	4.40482	9.64899	7.50768	6.32981	4.44124	6.27098	6.81218	8.0947	16.8723	7.05656	8.06437
1110032F04Rik	chr3:68869585-68872163	0.77896	0.141652	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0932363	0.246855	0.001	0.0950287	0.0836472
1110034G24Rik	chr2:132690282-132751055	5.36338	3.91705	1.59823	3.31569	1.30299	3.98559	4.39938	2.42531	1.89698	2.80966	2.1504	2.9131	0.001	3.2651	4.15684
1110035M17Rik	chr11:95700105-95712754	0.248958	0.301906	0.311031	3.31313	0.45392	1.08828	0.150813	2.74664	0.523863	0.195032	0.299743	0.001	0.001	0.146277	0.001
1110036E04Rik	chr9:64049828-64054100	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110037F02Rik	chr4:11485957-11551143	5.07929	11.4297	11.6377	11.8529	12.8029	4.82221	5.99573	5.13128	8.55371	6.45108	7.87442	7.38231	5.73993	7.52086	7.95923
1110038B12Rik	chr17:34950235-34952471	58.9403	69.0185	71.8768	52.8675	58.3204	126.396	74.8321	78.1599	56.1108	52.8593	28.4151	47.056	52.1169	48.1474	36.2362
1110038F14Rik	chr15:76948543-76950731	24.7363	18.5008	19.9039	20.6965	13.6901	21.3699	27.0344	27.8498	12.7347	20.4383	12.4802	14.0976	19.575	17.1888	13.2542
1110046J04Rik	chr13:33936031-33960181	5.97279	3.50998	8.70731	21.1902	6.62211	15.5611	10.0899	16.3765	7.66155	4.66999	10.9766	5.41238	20.9633	4.18867	4.55648
