tracking_id	locus	Endothelium 0D NTX	Endothelium 2D NTX (a)	Endothelium 2D NTX (b)	Endothelium 2D NTX ©	Endothelium 3D NTX (a)	Endothelium 3D NTX (b)	Endothelium 3D NTX ©	Endothelium 4D NTX	Endothelium 5D NTX	Endothelium 6D NTX	Endothelium 7D NTX	Endothelium 10D NTX (a)	Endothelium WT 10days (b)	Endothelium 14D NTX
0610005C13Rik	chr7:45567794-45575176	0.001	0.001	0.001	0.0718856	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0604332	0.0445932	0.0344347
0610007N19Rik	chr15:32240567-32244662	4.67591	2.02084	1.74004	2.81114	1.52243	1.49621	1.20932	3.77124	5.09742	5.95062	4.69092	4.28255	2.64603	2.72965
0610007P14Rik	chr12:85815454-85824545	12.4992	13.3832	17.2247	8.3307	23.7328	12.847	11.4836	11.9612	15.5865	11.1578	23.9771	11.4125	14.7996	11.1825
0610008F07Rik	chr2:163493803-163541721	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0610009B14Rik	chr12:80686374-80692466	0.001	0.001	0.164311	0.001	0.001	0.001	0.25873	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0610009B22Rik	chr11:51685384-51688634	14.5587	17.7552	13.1082	5.82974	8.91631	9.97763	6.37547	10.072	16.3228	11.7613	21.0711	14.3387	7.63631	10.5347
0610009D07Rik	chr12:4817607-4827659	48.4052	59.4251	60.3618	24.1596	54.4832	43.9935	36.0653	20.9775	54.9484	52.021	71.7655	44.0235	33.5688	35.1012
0610009L18Rik	chr11:120348677-120351190	2.21379	0.696906	2.23404	2.03119	1.63849	2.63628	4.30152	0.639888	0.834001	1.31737	2.87243	1.61615	2.66879	1.58671
0610009O20Rik	chr18:38250248-38262629	22.004	11.5219	15.2098	10.1464	16.2982	11.9487	17.3594	17.8483	20.7238	24.9779	11.0693	24.2282	22.9747	21.0429
0610010B08Rik	chr2:175192004-175338212	1.71651	2.78085	1.56414	0.646749	1.15591	1.12438	0.624124	0.864045	1.2814	1.44642	1.06524	1.79636	0.298259	1.45971
0610010F05Rik	chr11:23573775-23633631	6.45126	5.65661	4.33466	2.51716	2.24013	3.82119	1.38001	3.48651	5.62921	3.75315	5.08092	5.07638	1.3613	6.96119
0610010K14Rik	chr11:70235203-70237914	56.151	54.7332	62.7121	36.9095	66.9623	64.8787	68.6562	55.1344	61.6931	72.0051	28.6695	44.8426	70.0475	46.7986
0610011F06Rik	chr17:25875499-25877163	5.00602	3.90103	5.31079	3.17623	10.3344	5.93887	8.18336	8.12222	9.73165	6.00498	4.42088	5.22605	8.10827	4.27318
0610012G03Rik	chr16:31947050-31948521	23.194	15.2363	15.7063	11.883	38.5734	22.852	32.191	21.9622	21.6044	19.6821	20.2612	15.2358	24.1654	10.1845
0610012H03Rik	chr2:105224341-105379860	0.001	0.001	0.001	0.0398228	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0610030E20Rik	chr6:72347316-72353160	3.29472	1.95802	1.77085	1.5801	2.35182	3.49326	1.68547	2.1218	2.59051	2.23948	4.53738	4.29405	3.30029	5.34821
0610031J06Rik	chr3:88325022-88328631	66.1091	78.55	88.0442	49.89	119.949	61.9819	110.042	70.0168	76.132	99.6971	35.8338	84.1151	71.5814	74.4446
0610031O16Rik	chr3:138210716-138239663	0.001	0.238956	0.385672	0.001	0.0803903	0.001	0.203027	0.001	0.001	0.130866	0.001	0.001	0.001	0.001
0610037L13Rik	chr4:107889898-107897802	20.8155	23.9587	24.9152	13.0527	31.4262	18.6807	23.4705	18.4178	29.233	24.2819	26.4203	21.1348	19.5994	16.9948
0610038B21Rik	chr8:77517055-77518578	1.29589	0.692126	0.375315	1.77907	0.388802	0.62915	0.831191	1.21974	0.424143	0.256761	0.26771	0.428701	0.688818	0.291696
0610038L08Rik	chr17:29578815-29596305	0.001	0.001	0.001	0.0453794	0.001	0.001	0.001	0.001	0.323979	0.001	0.001	0.0981127	0.0359575	0.0278636
0610039K10Rik	chr2:163644849-163645800	1.58875	0.400034	0.970882	0.685636	1.00995	0.167944	0.254731	0.584974	0.486026	0.11009	0.001	0.439356	0.816642	0.544359
0610040B10Rik	chr5:143329307-143332704	0.344738	1.16058	0.917322	0.597322	3.49858	0.978067	0.744535	3.64965	1.35797	0.001	0.346948	0.797063	0.799713	1.29887
0610040F04Rik	chr6:108577038-108660934	0.001	0.001	0.0812381	0.136778	0.001	0.209275	0.001	0.036362	0.001	0.0556339	0.001	0.037184	0.0270674	0.001
0610040J01Rik	chr5:63812494-63899619	0.001	0.734286	0.149542	0.629114	0.83558	0.731519	0.194435	0.16721	0.225541	0.256161	0.159523	0.411065	0.0746799	0.232523
0610043K17Rik	chr4:101353782-101399185	0.201724	0.001	0.279867	0.119749	0.001	0.440367	0.001	1.15441	0.001	0.565795	0.205644	0.373744	0.19106	0.361402
1100001G20Rik	chr11:83746939-83752646	0.694979	2.33847	0.923945	1.40418	2.93714	0.001	1.00022	0.648953	0.683779	0.613702	0.001	9.62959	0.805799	0.594625
1110001A16Rik	chr17:78916498-78921048	10.2852	8.85951	6.04471	5.11176	10.1876	8.14655	5.82897	5.19914	11.1946	6.42916	11.5875	6.2559	5.43412	5.15332
