tracking_id	locus	FAP 0D NTX	FAP 1D NTX	FAP 2D NTX	FAP 3D NTX	FAP 3D NTX	FAP 4D NTX	FAP 5D NTX	FAP 6D NTX	FAP 10D NTX
0610005C13Rik	chr7:45567794-45575176	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0516363
0610007N19Rik	chr15:32240567-32244662	32.7912	26.6467	28.0917	22.6762	34.5176	38.6413	49.1412	40.4483	32.2527
0610007P14Rik	chr12:85815454-85824545	22.7922	47.6473	53.4837	32.7372	36.841	39.853	38.624	36.1349	15.1807
0610008F07Rik	chr2:163493803-163541721	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0610009B14Rik	chr12:80686374-80692466	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
0610009B22Rik	chr11:51685384-51688634	16.966	1.16571	23.693	10.9812	6.18771	11.2095	10.2092	13.4708	9.48108
0610009D07Rik	chr12:4817607-4827659	55.8582	30.4187	61.6028	37.7369	29.8231	54.6002	46.6659	39.9239	20.0031
0610009L18Rik	chr11:120348677-120351190	0.330665	0.297028	0.522443	0.645968	1.30149	0.233866	0.702496	1.26593	0.213446
0610009O20Rik	chr18:38250248-38262629	11.4225	18.5375	10.6133	7.48179	10.7902	8.14578	9.39895	8.29887	7.40352
0610010B08Rik	chr2:175192004-175338212	2.22802	0.215963	2.56014	1.55015	0.001	1.23821	1.71774	2.22404	1.05724
0610010F05Rik	chr11:23573775-23633631	5.90624	0.411128	5.2328	3.58464	0.898556	4.46286	3.68409	4.54949	3.22649
0610010K14Rik	chr11:70235203-70237914	45.1973	63.8043	37.5964	28.8055	29.0351	17.5293	19.0879	12.4813	9.62403
0610011F06Rik	chr17:25875499-25877163	13.7518	14.3565	6.05118	3.41868	4.43927	3.31433	2.98848	1.96533	3.94367
0610012G03Rik	chr16:31947050-31948521	19.3226	30.9312	8.33297	6.57052	21.5627	8.36153	8.89311	7.27404	6.23528
0610012H03Rik	chr2:105224341-105379860	0.001	0.001	0.001	0.001	0.271258	0.001	0.0689458	0.001	0.0736952
0610030E20Rik	chr6:72347316-72353160	4.71168	1.25009	2.56507	2.5578	1.43508	1.94894	3.44568	4.73269	4.53116
0610031J06Rik	chr3:88325022-88328631	42.7409	74.1655	74.2294	77.875	100.043	48.0147	57.2205	54.5069	56.3854
0610031O16Rik	chr3:138210716-138239663	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0743824
0610037L13Rik	chr4:107889898-107897802	33.2596	41.9066	19.5431	15.8028	31.4442	16.9375	21.8342	21.0961	13.7316
0610038B21Rik	chr8:77517055-77518578	2.44835	2.3282	0.783926	0.871736	1.3463	0.477883	0.547585	0.368515	0.54874
0610038L08Rik	chr17:29578815-29596305	0.001	0.001	0.001	0.124896	0.001	0.001	0.001	0.001	0.0837612
0610039K10Rik	chr2:163644849-163645800	0.383614	0.001	0.150634	0.562915	0.001	0.001	0.001	0.125284	0.0626255
0610040B10Rik	chr5:143329307-143332704	1.08441	0.001	0.864469	1.58519	0.542177	1.89601	1.1378	2.67413	0.860141
0610040F04Rik	chr6:108577038-108660934	0.001	0.001	0.001	0.001	0.001	0.0690233	0.001	0.001	0.001
0610040J01Rik	chr5:63812494-63899619	0.001	0.154167	0.0693574	0.001	0.0428488	0.317794	0.0819445	0.0589737	0.0876391
0610043K17Rik	chr4:101353782-101399185	0.994162	0.148853	1.0472	0.647375	0.001	0.234368	0.201143	0.001	0.534748
1100001G20Rik	chr11:83746939-83752646	1.63831	0.252764	0.870829	19.1582	10.9247	5.3459	0.818381	2.35523	0.173212
1110001A16Rik	chr17:78916498-78921048	6.79036	2.12315	7.8716	3.82968	1.7592	4.21392	3.04252	3.6665	2.23624
1110001J03Rik	chr6:38534860-38539449	62.1316	20.9885	27.5624	18.955	31.0598	7.93571	12.6347	9.66218	12.5153
1110002L01Rik	chr12:3403882-3426747	1.73879	0.146114	1.99825	1.23045	1.18636	2.6708	2.2067	2.23143	1.72387
1110004E09Rik	chr16:90925810-90934849	8.16745	15.3102	7.11472	8.14155	5.43224	7.77684	6.8209	7.85894	3.66681
1110004F10Rik	chr7:116093379-116105210	67.7717	47.6832	57.9532	49.7024	36.9686	61.3359	64.9263	57.0885	32.1804
1110006O24Rik	chr5:115631048-115631816	0.001	0.22169	0.589451	0.243997	0.610178	0.177286	0.456687	0.484283	0.405477
1110007C09Rik	chr13:49202950-49216026	31.8082	26.7377	18.5383	13.3623	18.1838	8.0398	5.10612	4.88826	5.97858
1110008F13Rik	chr2:156863121-156873562	6.98892	59.0899	14.5787	14.3445	28.7501	17.3895	15.9314	11.8453	7.86156
1110008J03Rik	chr5:120609059-120612589	1.075	4.8922	3.78565	3.20949	2.20602	2.12229	1.75255	1.28235	1.88748
1110008L16Rik	chr12:55302636-55382491	2.20544	3.90268	1.76182	1.70859	2.12482	1.95181	2.50116	2.57424	1.62676
1110008P14Rik	chr2:32379100-32381915	18.6271	48.7912	16.1452	25.0616	36.4373	8.65056	11.8806	9.78337	9.18497
1110012L19Rik	chrX:70385912-70389416	17.0822	13.0758	16.7199	11.5847	13.7271	10.7391	13.7869	14.8607	9.79282
1110015O18Rik	chr3:4798707-4814911	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110017D15Rik	chr4:41505008-41517333	0.001	0.185132	0.001	0.001	0.001	0.001	0.140215	0.001	0.001
1110018G07Rik	chr12:84918148-84970886	4.51537	3.04961	6.28092	6.70827	6.12723	7.19517	7.06665	8.11554	4.8363
1110019D14Rik	chr6:13871568-13896421	1.58716	0.296548	1.24234	0.666006	0.329202	0.567886	0.836624	1.1258	0.745198
1110020A21Rik	chr17:84917181-84957710	0.352165	0.001	0.688585	0.214124	0.001	0.248783	0.267585	0.284705	0.22692
1110025L11Rik	chr16:89063409-89064002	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110028F11Rik	chr11:87699523-87705327	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.0196752
1110028F18Rik	chr8:106587142-106594820	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
1110032A03Rik	chr9:50762827-50768152	12.3438	1.30111	5.41207	4.12114	4.06713	3.21555	3.97285	4.06456	3.32487
1110032F04Rik	chr3:68869585-68872163	0.0627241	0.001	0.001	0.0614485	0.001	0.090018	0.0386921	0.001	0.06211
1110034G24Rik	chr2:132690282-132751055	4.97529	4.59174	2.80785	0.679709	1.84823	0.579512	1.24504	1.45481	1.901
1110035M17Rik	chr11:95700105-95712754	0.402651	0.001	0.001	0.392992	0.001	0.001	0.24337	0.253884	0.129191
1110036E04Rik	chr9:64049828-64054100	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001
